GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0500000US51193,"Westmoreland County, Virginia",17532,929,1929,579,1420,8.1,894,5.1,789,4.5,3787,8462,516,973,296,745,8.8,398,4.7,389,4.6,1743,9070,408,952,290,680,7.5,490,5.4,408,4.5,2032
0500000US51195,"Wise County, Virginia",41154,2222,4733,1482,4321,10.5,2840,6.9,2757,6.7,5926,21343,1131,2454,747,2348,11,1665,7.8,1643,7.7,2625,19811,1070,2278,733,1961,9.9,1208,6.1,1109,5.6,3308
0500000US51197,"Wythe County, Virginia",29274,1493,3425,1112,2137,7.3,1522,5.2,1639,5.6,5269,14438,765,1906,635,1112,7.7,751,5.2,794,5.5,2325,14836,727,1528,475,1024,6.9,757,5.1,831,5.6,2938
0500000US51199,"York County, Virginia",65762,3683,9733,3354,5853,8.9,3485,5.3,3551,5.4,8352,32261,1678,5000,1774,3194,9.9,1807,5.6,1774,5.5,3710,33501,1977,4757,1575,2647,7.9,1709,5.1,1809,5.4,4657
0500000US51510,"Alexandria city, Virginia",143684,10489,11495,3017,9627,6.7,17386,12.1,17673,12.3,13506,69448,5278,5764,1528,4584,6.6,8056,11.6,8681,12.5,5764,74236,5197,5716,1485,5048,6.8,9354,12.6,8908,12,7721
0500000US51515,"Bedford city, Virginia",6052,200,599,260,581,9.6,303,5,278,4.6,1465,2725,82,343,117,169,6.2,147,5.4,98,3.6,640,3327,116,260,146,413,12.4,153,4.6,180,5.4,825
0500000US51520,"Bristol city, Virginia",17713,957,2108,567,1541,8.7,1169,6.6,1045,5.9,3365,8234,494,1087,280,725,8.8,552,6.7,494,6,1293,9479,474,1024,303,815,8.6,616,6.5,540,5.7,2085
0500000US51530,"Buena Vista city, Virginia",6699,389,837,194,931,13.9,509,7.6,295,4.4,1125,3049,155,390,58,406,13.3,290,9.5,116,3.8,518,3650,234,445,135,526,14.4,219,6,179,4.9,606
0500000US51540,"Charlottesville city, Virginia",43663,2358,3231,961,11527,26.4,5065,11.6,3449,7.9,4061,21053,1221,1705,505,5326,25.3,2568,12.2,1747,8.3,1663,22610,1131,1515,452,6173,27.3,2487,11,1718,7.6,2397
0500000US51550,"Chesapeake city, Virginia",225597,14438,32035,10829,20981,9.3,14889,6.6,14664,6.5,24364,109875,7362,16262,5384,10988,10,7581,6.9,7142,6.5,10438,115722,7059,15854,5323,9952,8.6,7406,6.4,7406,6.4,14002
0500000US51570,"Colonial Heights city, Virginia",17481,944,2290,682,1538,8.8,1031,5.9,926,5.3,3339,8154,530,1133,334,758,9.3,514,6.3,481,5.9,1296,9327,420,1157,336,783,8.4,513,5.5,448,4.8,2033
0500000US51580,"Covington city, Virginia",5880,329,682,247,635,10.8,165,2.8,259,4.4,1070,2958,248,325,160,358,12.1,65,2.2,145,4.9,458,2922,79,359,85,275,9.4,99,3.4,114,3.9,614
0500000US51590,"Danville city, Virginia",42996,2752,5031,1505,4214,9.8,2537,5.9,2279,5.3,8169,19637,1355,2612,746,2082,10.6,1198,6.1,1041,5.3,3063,23359,1402,2406,747,2126,9.1,1355,5.8,1238,5.3,5139
0500000US51595,"Emporia city, Virginia",5773,416,635,208,548,9.5,381,6.6,294,5.1,1045,2747,280,321,140,291,10.6,154,5.6,176,6.4,376,3026,136,312,70,260,8.6,227,7.5,118,3.9,666
0500000US51600,"Fairfax city, Virginia",23027,1474,2464,898,2165,9.4,1727,7.5,1543,6.7,3247,11401,855,1266,365,1152,10.1,901,7.9,809,7.1,1345,11626,616,1209,535,1011,8.7,825,7.1,721,6.2,1907
