GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,total_population,total_population_under_5yrs,total_population_5_to_14yrs,total_population_15_to_17yrs,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,total_population_65yrs_and_over,total_population_male,total_population_under_5yrs_male,total_population_5_to_14yrs_male,total_population_15_to_17yrs_male,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,total_population_65yrs_and_over_male,total_population_female,total_population_under_5yrs_female,total_population_5_to_14yrs_female,total_population_15_to_17yrs_female,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,total_population_65yrs_and_over_female
0100000US,United States,303965272,20061708,40731346,13070507,30092562,9.9,20669638,6.8,19453777,6.4,38603590,149398724,10308512,20915821,6722943,15537467,10.4,10457911,7,9710917,6.5,16583258,154566548,9892259,19939085,6337228,14683822,9.5,10355959,6.7,9737693,6.3,22257583
0400000US01,Alabama,4712651,301610,626783,202644,471265,10,306322,6.5,287472,6.1,636208,2285905,153156,320027,105152,237734,10.4,150870,6.6,141726,6.2,265165,2426746,148032,305770,97070,235394,9.7,155312,6.4,148032,6.1,368865
0400000US02,Alaska,691189,51148,100222,33177,76031,11,50457,7.3,44236,6.4,50457,358919,26560,51684,16869,41276,11.5,26560,7.4,22971,6.4,24048,332270,24588,48844,16281,34556,10.4,23923,7.2,21265,6.4,25917
0400000US04,Arizona,6246816,462264,880801,268613,618435,9.9,449771,7.2,406043,6.5,830827,3108234,236226,450694,139871,320148,10.3,226901,7.3,208252,6.7,379205,3138582,225978,429986,131820,295027,9.4,219701,7,197731,6.3,455094
0400000US05,Arkansas,2872684,195343,390685,120653,281523,9.8,192470,6.7,178106,6.2,405048,1408945,100035,200070,61994,142303,10.1,95808,6.8,88764,6.3,174709,1463739,95143,190286,58550,139055,9.5,96607,6.6,87824,6,231271
0400000US06,California,36637290,2527973,5092583,1685315,3810278,10.4,2711159,7.4,2527973,6.9,4066739,18223157,1293844,2605911,874712,1986324,10.9,1384960,7.6,1275621,7,1749423,18414133,1252161,2485908,828636,1822999,9.9,1325818,7.2,1233747,6.7,2301767
0400000US08,Colorado,4887061,342094,659753,200370,483819,9.9,356755,7.3,342094,7,513141,2448492,173843,337892,105285,252195,10.3,183637,7.5,176291,7.2,225261,2438569,165823,321891,97543,231664,9.5,175577,7.2,165823,6.8,290190
0400000US09,Connecticut,3545837,205659,468050,156017,319125,9,205659,5.8,205659,5.8,492871,1724834,105215,239752,79342,165584,9.6,103490,6,101765,5.9,205255,1821003,100155,227625,74661,154785,8.5,101976,5.6,103797,5.7,287718
0400000US10,Delaware,881278,56402,111922,37014,88128,10,58164,6.6,51995,5.9,122498,427218,28624,57247,19225,44431,10.4,28624,6.7,25633,6,53402,454060,27698,54941,17708,44044,9.7,29514,6.5,26790,5.9,69471
0400000US11,District of Columbia,584400,32142,52596,18116,81816,14,62531,10.7,51427,8.8,67206,276101,16566,26506,9111,36998,13.4,28991,10.5,24849,9,26782,308299,16032,26205,8941,44703,14.5,33605,10.9,26514,8.6,40387
0400000US12,Florida,18511620,1073674,2202883,721953,1703069,9.2,1166232,6.3,1092186,5.9,3128464,9050155,552059,1122219,380107,877865,9.7,579210,6.4,543009,6,1393724,9461465,529842,1078607,350074,832609,8.8,577149,6.1,548765,5.8,1740910
0400000US13,Georgia,9468815,691223,1354041,416628,956350,10.1,662817,7,653348,6.9,975288,4626914,351645,694037,212838,485826,10.5,328511,7.1,319257,6.9,407168,4841901,338933,663340,203360,469664,9.7,338933,7,329249,6.8,566502
0400000US15,Hawaii,1333591,86683,161365,52010,129358,9.7,96019,7.2,84016,6.3,186703,668202,44770,82857,26728,70161,10.5,49447,7.4,43433,6.5,82189,665389,41920,78516,25285,59220,8.9,45912,6.9,41254,6.2,104466
0400000US16,Idaho,1526797,119090,230546,70233,154206,10.1,103822,6.8,96188,6.3,183216,764429,61154,117722,35928,78736,10.3,53510,7,49688,6.5,84087,762368,57940,112068,33544,76237,10,51079,6.7,47267,6.2,99108
0400000US17,Illinois,12745359,841194,1746114,560796,1249045,9.8,904920,7.1,853939,6.7,1567679,6250352,431274,893800,287516,637536,10.2,456276,7.3,431274,6.9,656287,6495007,415680,857341,272790,604036,9.3,448155,6.9,422175,6.5,915796
0400000US18,Indiana,6417398,436383,892018,282366,641740,10,417131,6.5,404296,6.3,815010,3155214,220865,457506,145140,328142,10.4,211399,6.7,201934,6.4,343918,3262184,212042,437133,137012,316432,9.7,208780,6.4,198993,6.1,473017
0400000US19,Iowa,3016267,199074,398147,126683,307659,10.2,190025,6.3,177960,5.9,446408,1488998,101252,203993,65516,157834,10.6,96785,6.5,90829,6.1,187614,1527269,96218,193963,62618,149672,9.8,93163,6.1,88582,5.8,258108
0400000US20,Kansas,2809329,199462,396115,120801,292170,10.4,188225,6.7,174178,6.2,368022,1391010,100153,203087,62595,150229,10.8,95980,6.9,87634,6.3,157184,1418319,97864,191473,59569,140414,9.9,92191,6.5,85099,6,211330
0400000US21,Kentucky,4285828,278579,565729,175719,411439,9.6,282865,6.6,274293,6.4,561443,2105483,143173,290557,90536,208443,9.9,143173,6.8,138962,6.6,237920,2180345,135181,274723,85033,200592,9.2,141722,6.5,135181,6.2,322691
0400000US22,Louisiana,4429940,305666,606902,194917,469574,10.6,318956,7.2,274656,6.2,536023,2165456,155913,309660,99611,236035,10.9,158078,7.3,136424,6.3,227373,2264484,149456,296647,95108,233242,10.3,158514,7,138134,6.1,310234
0400000US23,Maine,1327665,70366,156664,54434,116835,8.8,71694,5.4,71694,5.4,203133,649666,36381,80559,27936,59120,9.1,35732,5.5,35732,5.5,87705,677999,33900,76614,26442,57630,8.5,35934,5.3,36612,5.4,115260
0400000US24,Maryland,5696423,364571,746231,250643,546857,9.6,381660,6.7,358875,6.3,677874,2754058,187276,380060,126687,278160,10.1,187276,6.8,173506,6.3,283668,2942365,179484,367796,120637,267755,9.1,194196,6.6,182427,6.2,391335
0400000US25,Massachusetts,6477096,369194,796683,265561,660664,10.2,427488,6.6,401580,6.2,874408,3132249,187935,407192,137819,332018,10.6,209861,6.7,197332,6.3,363341,3344847,180622,391347,130449,331140,9.9,217415,6.5,204036,6.1,515106
0400000US26,Michigan,9952687,617067,1353565,457824,965411,9.7,607114,6.1,587209,5.9,1313755,4884438,312604,693590,234453,493328,10.1,302835,6.2,288182,5.9,561710,5068249,299027,658872,217935,476415,9.4,299027,5.9,293958,5.8,755169
0400000US27,Minnesota,5241914,351208,702416,225402,508466,9.7,361692,6.9,330241,6.3,660481,2601448,179500,359000,114464,260145,10,184703,7.1,169094,6.5,283558,2640466,174271,343261,110900,250844,9.5,176911,6.7,163709,6.2,372306
0400000US28,Mississippi,2941991,208881,414821,132390,308909,10.5,197113,6.7,182403,6.2,370691,1427843,107088,212749,67109,155635,10.9,97093,6.8,88526,6.2,152779,1514148,101448,202896,66623,152929,10.1,99934,6.6,92363,6.1,216523
0400000US29,Missouri,5922314,384950,787668,254660,586309,9.9,396795,6.7,361261,6.1,811357,2895638,196903,402494,130304,295355,10.2,196903,6.8,179530,6.2,347477,3026676,187654,384388,124094,290561,9.6,196734,6.5,181601,6,466108
0400000US30,Montana,973739,59398,121717,40897,96400,9.9,60372,6.2,55503,5.7,140218,487959,30741,62947,20982,50260,10.3,31229,6.4,28302,5.8,63923,485780,29147,59265,20403,46635,9.6,29147,6,26718,5.5,75782
0400000US31,Nebraska,1799125,129537,246480,77362,185310,10.3,120541,6.7,113345,6.3,241083,890558,65901,125569,39185,94399,10.6,62339,7,56996,6.4,102414,908567,63600,120839,37251,89948,9.9,59057,6.5,56331,6.2,138102
0400000US32,Nevada,2633331,189600,358133,110600,242266,9.2,194866,7.4,184333,7,302833,1331625,97209,183764,57260,125173,9.4,99872,7.5,94545,7.1,142484,1301706,92421,174429,53370,117154,9,96326,7.4,89818,6.9,160110
0400000US33,New Hampshire,1313939,72267,166870,57813,122196,9.3,70953,5.4,72267,5.5,170812,648504,36965,85603,29831,62256,9.6,35668,5.5,36316,5.6,74578,665435,35268,80518,27948,60555,9.1,35268,5.3,36599,5.5,95823
0400000US34,New Jersey,8721577,549459,1159970,375028,750056,8.6,549459,6.3,549459,6.3,1151248,4244502,280137,589986,195247,390494,9.2,275893,6.5,271648,6.4,475384,4477075,268625,564111,183560,362643,8.1,273102,6.1,277579,6.2,680515
0400000US35,New Mexico,2013122,142932,277811,90590,203325,10.1,136892,6.8,120787,6,257680,992833,72477,140982,46663,105240,10.6,69498,7,60563,6.1,116161,1020289,70400,137739,43872,98968,9.7,66319,6.5,60197,5.9,142840
0400000US36,New York,19229752,1153785,2403719,807650,1922975,10,1346083,7,1249934,6.5,2557557,9300854,595255,1227713,418538,976590,10.5,669661,7.2,613856,6.6,1050997,9928898,565947,1181539,397156,953174,9.6,685094,6.9,635449,6.4,1499264
0400000US37,North Carolina,9271178,621169,1233067,380118,908575,9.8,602627,6.5,611898,6.6,1168168,4519289,320870,632700,194329,465487,10.3,298273,6.6,302792,6.7,492603,4751889,304121,603490,185324,446678,9.4,308873,6.5,308873,6.5,674768
0400000US38,North Dakota,659858,41571,79183,26394,82482,12.5,44870,6.8,38932,5.9,96339,332932,21308,40618,13983,43947,13.2,23971,7.2,20309,6.1,41617,326926,20596,38577,12423,38904,11.9,20596,6.3,18308,5.6,54597
0400000US39,Ohio,11512431,725283,1542666,506547,1093681,9.5,736796,6.4,679233,5.9,1588715,5616436,370685,786301,258356,550411,9.8,365068,6.5,336986,6,662739,5895995,353760,754687,241736,536536,9.1,371448,6.3,341968,5.8,919775
0400000US40,Oklahoma,3675339,257274,499846,154364,382235,10.4,253598,6.9,227871,6.2,492495,1816749,130806,257978,79937,196209,10.8,128989,7.1,116272,6.4,212560,1858590,126384,243475,76202,185859,10,124526,6.7,113374,6.1,278789
0400000US41,Oregon,3761925,233239,477764,154239,353621,9.4,259573,6.9,252049,6.7,507860,1862256,119184,243956,78215,180639,9.7,130358,7,128496,6.9,223471,1899669,113980,233659,74087,174770,9.2,129177,6.8,121579,6.4,283051
