GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,324697795,19767670,41084755,12576967,30646327,23069320,21961095,50783796,159886919,10112614,20984851,6429069,15706354,11737463,11073985,22518603,164810876,9655056,20099904,6147898,14939973,11331857,10887110,28265193
0400000US01,Alabama,4876250,293187,611520,191669,458997,332622,305325,804881,2359355,149090,312111,98257,230955,165052,149779,350196,2516895,144097,299409,93412,228042,167570,155546,454685
0400000US02,Alaska,737068,53237,102079,29078,72088,62205,57119,82583,384915,27062,52697,15200,41191,33136,30027,40975,352153,26175,49382,13878,30897,29069,27092,41608
0400000US04,Arizona,7050299,433968,922302,279074,682423,501361,463586,1206748,3504509,221817,470006,142358,353695,260409,239400,555942,3545790,212151,452296,136716,328728,240952,224186,650806
0400000US05,Arkansas,2999370,189636,394678,119954,283463,202000,189817,498778,1471760,96986,201712,61421,145600,100466,95098,221627,1527610,92650,192966,58533,137863,101534,94719,277151
0400000US06,California,39283497,2451528,5043689,1526929,3789808,3078492,2889372,5486041,19526298,1254607,2576329,779960,1950117,1591508,1484698,2437872,19757199,1196921,2467360,746969,1839691,1486984,1404674,3048169
0400000US08,Colorado,5610349,334032,714206,212767,523765,439062,432438,773706,2823201,170300,365805,108925,273756,229326,225509,353729,2787148,163732,348401,103842,250009,209736,206929,419977
0400000US09,Connecticut,3575074,183808,419325,140700,348146,221103,220639,601053,1744245,94516,213914,71984,178867,113876,110366,261033,1830829,89292,205411,68716,169279,107227,110273,340020
0400000US10,Delaware,957248,54830,113980,34874,84244,66417,61201,174174,462890,27732,57559,17785,42503,33367,30570,77676,494358,27098,56421,17089,41741,33050,30631,96498
0400000US11,District of Columbia,692683,45040,63206,15684,74637,82793,79079,83670,328644,22874,31843,7905,33847,38104,37811,34262,364039,22166,31363,7779,40790,44689,41268,49408
0400000US12,Florida,20901636,1128214,2330148,724100,1753429,1396796,1320057,4205428,10220813,577348,1189513,369763,899267,711093,665891,1896621,10680823,550866,1140635,354337,854162,685703,654166,2308807
0400000US13,Georgia,10403847,656677,1414858,433705,1010328,743604,697170,1406485,5062096,335418,720732,220516,515664,370961,341060,611571,5341751,321259,694126,213189,494664,372643,356110,794914
0400000US15,Hawaii,1422094,88842,168467,47329,124451,104547,99760,253606,713260,45831,86591,24143,68020,55319,51230,114808,708834,43011,81876,23186,56431,49228,48530,138798
0400000US16,Idaho,1717750,114361,251438,75348,161047,114370,110604,264889,861025,58246,128894,38552,83912,58383,55590,125143,856725,56115,122544,36796,77135,55987,55014,139746
0400000US17,Illinois,12770631,767193,1618568,505765,1192806,897480,872810,1942534,6272172,392347,825568,257971,607155,454276,439469,845088,6498459,374846,793000,247794,585651,443204,433341,1097446
0400000US18,Indiana,6665703,418685,880996,272810,662719,445665,420772,1023588,3284846,214647,450489,139112,340283,224782,210400,449681,3380857,204038,430507,133698,322436,220883,210372,573907
0400000US19,Iowa,3139508,196427,409667,122643,317986,198583,196481,525522,1558536,99916,209246,63034,163663,101316,100192,234025,1580972,96511,200421,59609,154323,97267,96289,291497
0400000US20,Kansas,2910652,191113,400717,119240,297303,193121,189834,449327,1450697,97911,204840,61186,156196,100285,96321,200796,1459955,93202,195877,58054,141107,92836,93513,248531
0400000US21,Kentucky,4449052,274592,562818,171896,420653,301584,275983,710138,2190922,140962,288512,88702,217350,152781,138799,313244,2258130,133630,274306,83194,203303,148803,137184,396894
0400000US22,Louisiana,4664362,307435,613362,182553,435859,342951,326262,698018,2278986,156310,313230,92871,222400,171712,162436,305756,2385376,151125,300132,89682,213459,171239,163826,392262
0400000US23,Maine,1335492,64035,142231,46232,108877,79467,78728,267568,653942,33029,73095,23704,56143,39866,39039,121459,681550,31006,69136,22528,52734,39601,39689,146109
0400000US24,Maryland,6018848,364868,748065,228749,538158,414900,413044,902678,2917613,186260,381830,116720,274174,208364,203171,390129,3101235,178608,366235,112029,263984,206536,209873,512549
0400000US25,Massachusetts,6850553,361016,761546,248698,697610,500159,473326,1107089,3324207,184591,388587,127189,346974,251951,235460,478764,3526346,176425,372959,121509,350636,248208,237866,628325
0400000US26,Michigan,9965265,571094,1214399,392385,973907,668583,599192,1666343,4905240,292118,621495,200977,497644,341403,301100,743307,5060025,278976,592904,191408,476263,327180,298092,923036
0400000US27,Minnesota,5563378,351664,728545,215639,500630,371742,384595,858698,2770873,180180,372349,110623,254035,191022,195106,388483,2792505,171484,356196,105016,246595,180720,189489,470215
0400000US28,Mississippi,2984418,186647,403605,123241,295255,203200,184444,461022,1447873,95204,206030,63265,150362,101259,89411,200258,1536545,91443,197575,59976,144893,101941,95033,260764
0400000US29,Missouri,6104910,371570,772992,237050,573249,415251,398156,1006725,2995725,190266,395436,121641,293572,208704,199400,443403,3109185,181304,377556,115409,279677,206547,198756,563322
0400000US30,Montana,1050649,61035,129154,38197,98968,67666,65738,190711,528573,31547,66297,19676,52444,34823,33265,91178,522076,29488,62857,18521,46524,32843,32473,99533
0400000US31,Nebraska,1914571,131473,265301,77333,189438,126197,128900,294069,954950,67670,135963,39705,96864,64937,65882,131646,959621,63803,129338,37628,92574,61260,63018,162423
0400000US32,Nevada,2972382,183534,383918,113590,246645,220630,213035,457181,1491294,93629,195981,58234,126642,112293,108898,216084,1481088,89905,187937,55356,120003,108337,104137,241097
0400000US33,New Hampshire,1348124,63843,146927,49194,127823,83444,81749,235795,667689,32629,75044,25339,65322,43695,41600,107673,680435,31214,71883,23855,62501,39749,40149,128122
0400000US34,New Jersey,8878503,519524,1096420,345577,770603,569814,568446,1410285,4335032,265206,559254,176704,394389,291657,286134,605763,4543471,254318,537166,168873,376214,278157,282312,804522
0400000US35,New Mexico,2092454,126150,278867,83459,200607,142570,139033,352687,1036190,64429,142343,42757,104444,73483,71354,160927,1056264,61721,136524,40702,96163,69087,67679,191760
0400000US36,New York,19572319,1154201,2251805,702493,1831883,1481516,1384434,3146306,9501001,590459,1151342,359109,920349,741840,690784,1348264,10071318,563742,1100463,343384,911534,739676,693650,1798042
0400000US37,North Carolina,10264876,605125,1293626,397863,984403,706499,656078,1628013,4996638,309721,660582,202556,508521,352512,322380,711183,5268238,295404,633044,195307,475882,353987,333698,916830
0400000US38,North Dakota,756717,53215,96693,25836,85905,61376,54103,112883,387555,27209,49702,13221,45596,33164,29494,51469,369162,26006,46991,12615,40309,28212,24609,61414
0400000US39,Ohio,11655397,694711,1452388,457911,1074610,789434,732441,1941294,5711765,355693,742374,234620,546922,399629,366263,849599,5943632,339018,710014,223291,527688,389805,366178,1091695
0400000US40,Oklahoma,3932870,261316,537556,158092,383818,276520,266891,603394,1949528,133835,274710,81242,199514,140485,135434,268695,1983342,127481,262846,76850,184304,136035,131457,334699
0400000US41,Oregon,4129803,230557,489363,148023,362910,293282,290946,709555,2047338,118296,250751,75979,185411,149441,147197,324668,2082465,112261,238612,72044,177499,143841,143749,384887
0400000US42,Pennsylvania,12791530,706563,1485240,470588,1174907,863138,817769,2281720,6265113,361510,759376,241767,596391,440358,413820,994823,6526417,345053,725864,228821,578516,422780,403949,1286897
0400000US44,Rhode Island,1057231,54672,115210,37462,112687,76012,69205,177889,513792,28040,59026,19044,56155,38786,34983,76620,543439,26632,56184,18418,56532,37226,34222,101269
0400000US45,South Carolina,5020806,290931,623075,188496,471333,344409,314825,863558,2435472,148386,317544,95819,243345,170444,154303,383857,2585334,142545,305531,92677,227988,173965,160522,479701
0400000US46,South Dakota,870638,60399,119919,33790,84137,57527,56844,141534,438946,30755,61421,17545,43430,30290,29487,65086,431692,29644,58498,16245,40707,27237,27357,76448
0400000US47,Tennessee,6709356,406438,840813,257669,617043,476793,434952,1075124,3273278,208598,429011,131597,313287,237180,214566,474623,3436078,197840,411802,126072,303756,239613,220386,600501
0400000US48,Texas,28260856,1999803,4114599,1224043,2790857,2104191,2049991,3462527,14034009,1021356,2097777,622762,1440498,1072395,1038855,1543119,14226847,978447,2016822,601281,1350359,1031796,1011136,1919408
0400000US49,Utah,3096848,250885,522292,150406,349213,236994,219756,333949,1558868,128877,268333,77326,178047,121306,111166,154982,1537980,122008,253959,73080,171166,115688,108590,178967
0400000US50,Vermont,624313,29568,65556,21530,67199,37030,36003,117264,308097,15302,33730,11067,34759,18959,17978,53735,316216,14266,31826,10463,32440,18071,18025,63529
0400000US51,Virginia,8454463,508399,1041589,315711,811878,592560,581531,1271946,4159173,261093,530698,161407,419357,300642,292140,562945,4295290,247306,510891,154304,392521,291918,289391,709001
0400000US53,Washington,7404107,454364,918635,270547,658937,567266,549551,1117673,3703301,233206,469473,138345,343449,294987,282170,509666,3700806,221158,449162,132202,315488,272279,267381,608007
0400000US54,West Virginia,1817305,97540,207296,64602,160440,111245,102871,352114,898578,49961,105608,33367,83128,56614,52158,159606,918727,47579,101688,31235,77312,54631,50713,192508
0400000US55,Wisconsin,5790716,333184,723172,224547,554108,365699,365785,953571,2879894,170642,370233,114676,281911,188245,185212,432812,2910822,162542,352939,109871,272197,177454,180573,520759
0400000US56,Wyoming,581024,36541,77934,21896,54137,39450,40424,91462,296202,18997,39865,11441,28834,20577,21129,43732,284822,17544,38069,10455,25303,18873,19295,47730
0400000US72,Puerto Rico,3318447,143623,374715,130008,324142,221245,191951,653736,1578318,73576,190771,66530,164577,109507,92308,284289,1740129,70047,183944,63478,159565,111738,99643,369447
0500000US01001,"Autauga County, Alabama",55380,3217,7414,2574,4808,3602,3454,8283,26934,1734,3807,1229,2484,1754,1712,3594,28446,1483,3607,1345,2324,1848,1742,4689
0500000US01003,"Baldwin County, Alabama",212830,11689,26320,8226,15483,12174,11768,42531,103496,5948,13296,4304,7784,6048,5802,19735,109334,5741,13024,3922,7699,6126,5966,22796
0500000US01005,"Barbour County, Alabama",25361,1349,3044,914,2090,1827,1815,4710,13421,696,1495,470,1198,1143,1090,2027,11940,653,1549,444,892,684,725,2683
0500000US01007,"Bibb County, Alabama",22493,1315,2351,965,1694,1588,1688,3584,12150,701,1302,600,864,872,1213,1596,10343,614,1049,365,830,716,475,1988
0500000US01009,"Blount County, Alabama",57681,3432,7624,2333,4501,3503,3336,10326,28495,1750,3826,1251,2395,1746,1631,4609,29186,1682,3798,1082,2106,1757,1705,5717
0500000US01011,"Bullock County, Alabama",10248,542,1192,394,1019,679,592,1640,5571,260,599,232,637,373,445,703,4677,282,593,162,382,306,147,937
0500000US01013,"Butler County, Alabama",19828,1149,2495,811,1554,1170,1169,3900,9081,458,1329,418,789,568,545,1596,10747,691,1166,393,765,602,624,2304
