GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,309138711,20094016,40806310,12983826,30913871,10,21021432,6.8,20094016,6.5,40806310,152018799,10337278,20978594,6688827,15809955,10.4,10641316,7,10033241,6.6,17482162,157119912,9898554,19954229,6284796,15083512,9.6,10527034,6.7,10055674,6.4,23096627
0400000US01,Alabama,4777326,305749,625830,195870,482510,10.1,310526,6.5,296194,6.2,664048,2317520,155274,319818,101971,241022,10.4,152956,6.6,146004,6.3,280420,2459806,150048,307476,95932,238601,9.7,157428,6.4,152508,6.2,381270
0400000US02,Alaska,711139,53335,101693,32001,76803,10.8,54758,7.7,47646,6.7,55469,370127,27760,52188,16286,41824,11.3,28870,7.8,24799,6.7,27389,341012,25576,49106,15346,35124,10.3,25917,7.6,22848,6.7,28645
0400000US04,Arizona,6410979,455180,897537,269261,634687,9.9,442358,6.9,416714,6.5,897537,3187926,232719,459061,140269,331544,10.4,226343,7.1,213591,6.7,408055,3223053,222391,438335,132145,306190,9.5,215945,6.7,206275,6.4,486681
0400000US05,Arkansas,2916372,195397,393710,119571,285804,9.8,192481,6.6,183731,6.3,422874,1431252,100188,201807,61544,144556,10.1,95894,6.7,91600,6.4,183200,1485120,96533,191580,57920,141086,9.5,96533,6.5,90592,6.1,237619
0400000US06,California,37325068,2538105,5076209,1642303,3919132,10.5,2762055,7.4,2575430,6.9,4292383,18561020,1299271,2598543,853807,2041712,11,1410638,7.6,1317832,7.1,1874663,18764048,1238427,2476854,806854,1876405,10,1332247,7.1,1275955,6.8,2420562
0400000US08,Colorado,5042853,342914,680785,201714,494200,9.8,373171,7.4,358043,7.1,559757,2529614,174543,346557,103714,258021,10.2,192251,7.6,184662,7.3,247902,2513239,165874,331748,98016,236244,9.4,180953,7.2,173413,6.9,309128
0400000US09,Connecticut,3572213,200044,460815,150033,328644,9.2,214333,6,207188,5.8,510826,1739522,102632,236575,78278,168734,9.7,107850,6.2,102632,5.9,213961,1832691,97133,225421,73308,159444,8.7,106296,5.8,104463,5.7,295063
0400000US10,Delaware,900131,55808,113417,36005,90913,10.1,57608,6.4,54008,6,130519,436338,28362,58033,18763,45815,10.5,28798,6.6,26617,6.1,57160,463793,27364,55655,17624,45452,9.8,29219,6.3,27364,5.9,73279
0400000US11,District of Columbia,605759,34528,52095,16961,84201,13.9,69057,11.4,56336,9.3,69057,286427,17758,26351,8593,38095,13.3,31793,11.1,27211,9.5,27783,319332,16925,25866,8622,46303,14.5,37362,11.7,29059,9.1,41194
0400000US12,Florida,18885152,1076454,2209563,717636,1756319,9.3,1189765,6.3,1114224,5.9,3304902,9232292,553938,1126340,369292,895532,9.7,600099,6.5,563170,6.1,1467934,9652860,530907,1081120,347503,859105,8.9,588824,6.1,559866,5.8,1834043
0400000US13,Georgia,9714569,689734,1379469,417726,990886,10.2,670305,6.9,660591,6.8,1049173,4747484,351314,707375,213637,503233,10.6,332324,7,322829,6.8,446263,4967085,337762,675524,203650,481807,9.7,342729,6.9,337762,6.8,601017
0400000US15,Hawaii,1362730,88577,163528,51784,132185,9.7,99479,7.3,88577,6.5,197596,683498,45111,84070,25973,71084,10.4,51946,7.6,45794,6.7,86804,679232,42792,79470,25132,60452,8.9,47546,7,43471,6.4,110036
0400000US16,Idaho,1567803,119153,236738,68983,155212,9.9,106611,6.8,101907,6.5,195975,785954,61304,121823,36154,79381,10.1,54231,6.9,51873,6.6,91171,781849,58639,115714,32838,76621,9.8,52384,6.7,50038,6.4,105550
0400000US17,Illinois,12823860,833551,1731221,551426,1256738,9.8,910494,7.1,872022,6.8,1628630,6291373,427813,880792,283112,641720,10.2,452979,7.2,434105,6.9,685760,6532487,405014,849223,267832,607521,9.3,450742,6.9,431144,6.6,940678
0400000US18,Indiana,6485530,428045,895003,278878,655039,10.1,421559,6.5,408588,6.3,849604,3192018,220249,456459,143641,331970,10.4,210673,6.6,207481,6.5,360698,3293512,210785,438037,135034,322764,9.8,207491,6.3,204198,6.2,487440
0400000US19,Iowa,3047646,198097,402289,124953,307812,10.1,195049,6.4,185906,6.1,454099,1507335,100991,204998,63308,158270,10.5,100991,6.7,94962,6.3,194446,1540311,97040,195619,61612,150950,9.8,95499,6.2,92419,6,260313
0400000US20,Kansas,2851183,202434,399166,119750,290821,10.2,196732,6.9,179625,6.3,379207,1414881,103286,205158,60840,151392,10.7,100457,7.1,91967,6.5,162711,1436302,99105,195337,57452,139321,9.7,96232,6.7,89051,6.2,215445
0400000US21,Kentucky,4340167,282111,568562,173607,416656,9.6,282111,6.5,282111,6.5,581582,2134355,143002,290272,89643,213436,10,140867,6.6,140867,6.6,249720,2205812,136760,275727,83821,205141,9.3,141172,6.4,138966,6.3,333078
0400000US22,Louisiana,4529605,312543,611497,190243,475609,10.5,330661,7.3,294424,6.5,561671,2215673,159528,314626,95274,237077,10.7,163960,7.4,146234,6.6,239293,2313932,152720,300811,92557,236021,10.2,166603,7.2,145778,6.3,323950
0400000US23,Maine,1329084,69112,152845,51834,116959,8.8,73100,5.5,71771,5.4,212653,650219,35112,78676,26659,59820,9.2,36412,5.6,35762,5.5,93632,678865,33264,74675,25118,57025,8.4,36659,5.4,36659,5.4,119480
0400000US24,Maryland,5785496,364486,746329,242991,561193,9.7,393414,6.8,370272,6.4,717402,2798875,187525,377848,123151,285485,10.2,195921,7,181927,6.5,302279,2986621,179197,364368,116478,274769,9.2,200104,6.7,191144,6.4,412154
0400000US25,Massachusetts,6560595,367393,787271,262424,675741,10.3,446120,6.8,406757,6.2,911923,3174988,187324,403223,133349,336549,10.6,219074,6.9,200024,6.3,380999,3385607,179437,385959,125267,338561,10,223450,6.6,206522,6.1,531540
0400000US26,Michigan,9897264,593836,1316336,435480,979829,9.9,593836,6,583939,5.9,1375720,4855361,305888,670040,223347,500102,10.3,296177,6.1,286466,5.9,592354,5041903,292430,640322,211760,484023,9.6,297472,5.9,292430,5.8,781495
0400000US27,Minnesota,5313081,350663,706640,217836,504743,9.5,371916,7,345350,6.5,690701,2638499,179418,361474,113455,258573,9.8,187333,7.1,176779,6.7,300789,2674582,171173,345021,106983,248736,9.3,181872,6.8,171173,6.4,387814
0400000US28,Mississippi,2967620,207733,415467,130575,308632,10.4,195863,6.6,186960,6.3,382823,1439787,106544,213088,64790,155497,10.8,96466,6.7,92146,6.4,161256,1527833,102365,203202,64169,152783,10,99309,6.5,94726,6.2,223064
0400000US29,Missouri,5982413,382874,783696,245279,592259,9.9,400822,6.7,376892,6.3,843520,2929988,196309,401408,125989,298859,10.2,199239,6.8,187519,6.4,363319,3052425,189250,384606,119045,293033,9.6,201460,6.6,186198,6.1,479231
0400000US30,Montana,990785,60438,122857,38641,96106,9.7,62419,6.3,58456,5.9,147627,497141,31320,63137,19886,50211,10.1,32314,6.5,30326,6.1,68605,493644,29619,59731,19252,45909,9.3,30606,6.2,28631,5.8,79477
0400000US31,Nebraska,1827306,131566,252168,74920,184558,10.1,126084,6.9,116948,6.4,246686,906143,67055,128672,38964,95145,10.5,64336,7.1,59805,6.6,106925,921163,63560,123436,36847,90274,9.8,61718,6.7,58033,6.3,140938
0400000US32,Nevada,2704204,186590,365068,110872,248787,9.2,197407,7.3,191998,7.1,329913,1365496,95585,187073,57351,128357,9.4,101047,7.4,98316,7.2,155667,1338708,91032,178048,53548,120484,9,96387,7.2,92371,6.9,174032
0400000US33,New Hampshire,1317474,69826,162049,54016,123843,9.4,73779,5.6,72461,5.5,180494,650048,35753,83206,27952,63055,9.7,37053,5.7,35753,5.5,79956,667426,34039,78756,26697,61403,9.2,36041,5.4,36041,5.4,100781
0400000US34,New Jersey,8793888,536427,1151999,369343,765068,8.7,554015,6.3,562809,6.4,1195969,4283189,274124,586797,188460,398337,9.3,278407,6.5,278407,6.5,496850,4510699,261621,559327,180428,369877,8.2,275153,6.1,279663,6.2,699158
0400000US35,New Mexico,2055287,143870,283630,88377,205529,10,139760,6.8,127428,6.2,275408,1015710,74147,144231,44691,105634,10.4,72115,7.1,65005,6.4,123917,1039577,69652,140343,42623,99799,9.6,68612,6.6,62375,6,150739
0400000US36,New York,19398125,1163888,2366571,795323,1978609,10.2,1377267,7.1,1280276,6.6,2638145,9391875,591688,1211552,403851,1004931,10.7,685607,7.3,629256,6.7,1098849,10006250,570356,1160725,380238,970606,9.7,700438,7,650406,6.5,1540963
