GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_022E,S0101_C01_007E,S0101_C01_007E,S0101_C01_008E,S0101_C01_008E,S0101_C01_028E,,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_022E,S0101_C02_007E,S0101_C02_007E,S0101_C02_008E,S0101_C02_008E,S0101_C02_028E,,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_022E,S0101_C03_007E,S0101_C03_007E,S0101_C03_008E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0500000US55125,"Vilas County, Wisconsin",21637,930,2077,801,1103,5.1,822,3.8,909,4.2,5517,,10950,460,1084,438,580,5.3,438,4,493,4.5,2683,,10687,460,994,374,513,4.8,395,3.7,427,4,2832
0500000US55127,"Walworth County, Wisconsin",102147,6333,13483,4290,12258,12,5618,5.5,5822,5.7,13483,,51219,3227,6966,2151,6505,12.7,2971,5.8,2919,5.7,5941,,50928,3056,6519,2139,5704,11.2,2699,5.3,2903,5.7,7537
0500000US55129,"Washburn County, Wisconsin",15965,862,1756,639,894,5.6,686,4.3,734,4.6,3385,,7930,436,864,317,452,5.7,341,4.3,381,4.8,1586,,8035,426,900,313,434,5.4,346,4.3,346,4.3,1792
0500000US55131,"Washington County, Wisconsin",131190,8134,18498,5772,8921,6.8,6953,5.3,7609,5.8,17317,,65018,4226,9363,2926,4746,7.3,3511,5.4,3836,5.9,7477,,66172,3904,9132,2779,4235,6.4,3441,5.2,3838,5.8,9860
0500000US55133,"Waukesha County, Wisconsin",388125,21347,54338,18242,27169,7,19018,4.9,20183,5.2,54338,,190403,10853,27608,9520,14090,7.4,9711,5.1,10091,5.3,23420,,197722,10677,26692,8502,13247,6.7,9491,4.8,10084,5.1,31042
0500000US55135,"Waupaca County, Wisconsin",52552,2943,6622,2470,3574,6.8,2628,5,2838,5.4,9354,,26567,1514,3401,1302,1913,7.2,1408,5.3,1408,5.3,4304,,25985,1429,3196,1169,1637,6.3,1247,4.8,1429,5.5,5041
0500000US55137,"Waushara County, Wisconsin",24614,1206,2683,960,1600,6.5,1157,4.7,1280,5.2,4874,,13001,585,1391,546,949,7.3,689,5.3,728,5.6,2314,,11613,615,1289,430,639,5.5,465,4,546,4.7,2543
0500000US55139,"Winnebago County, Wisconsin",166033,9796,19924,6475,19426,11.7,11456,6.9,10294,6.2,21916,,83335,5000,10084,3333,9667,11.6,6167,7.4,5500,6.6,9334,,82698,4796,9841,3060,9758,11.8,5375,6.5,4796,5.8,12570
0500000US55141,"Wood County, Wisconsin",74641,4404,9405,3284,5523,7.4,4255,5.7,3956,5.3,12614,,36694,2312,4770,1651,2825,7.7,2128,5.8,1981,5.4,5431,,37947,2087,4630,1594,2694,7.1,2163,5.7,1935,5.1,7172
0500000US56001,"Albany County, Wyoming",35515,1811,3125,959,10655,30,3374,9.5,2131,6,3090,,18591,911,1673,502,5726,30.8,1915,10.3,1153,6.2,1450,,16924,880,1439,440,4925,29.1,1472,8.7,965,5.7,1642
0500000US56003,"Big Horn County, Wyoming",11553,774,1652,566,797,6.9,566,4.9,543,4.7,2056,,5816,401,808,297,430,7.4,273,4.7,250,4.3,1000,,5737,367,838,275,361,6.3,287,5,287,5,1050
