GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0400000US27,Minnesota,5527358,351740,725424,214443,503989,368050,384894,830112,2751748,179875,370850,110022,256216,188730,194922,,374196,2775610,171865,354574,104421,247773,179320,189972,,455916
0400000US28,Mississippi,2988762,188575,407928,123805,301140,202089,186674,449478,1450379,95979,208498,63377,152976,100717,90580,,194579,1538383,92596,199430,60428,148164,101372,96094,,254899
0400000US29,Missouri,6090062,372932,774218,237913,580161,411115,397909,981692,2988772,191209,396172,122092,297448,206022,198711,,431416,3101290,181723,378046,115821,282713,205093,199198,,550276
0400000US30,Montana,1041732,61810,127768,38014,99873,66490,65469,183823,524220,32041,65305,19675,52605,34244,33057,,87835,517512,29769,62463,18339,47268,32246,32412,,95988
0400000US31,Nebraska,1904760,131812,264249,76457,189779,124959,129418,286080,949910,67859,135320,39442,97090,64390,65885,,127624,954850,63953,128929,37015,92689,60569,63533,,158456
0400000US32,Nevada,2922849,182311,379597,112568,246923,215859,208636,438051,1467165,93316,193589,57719,126577,109890,106517,,207437,1455684,88995,186008,54849,120346,105969,102119,,230614
0400000US33,New Hampshire,1343622,64079,148612,49872,128944,81898,79643,227984,664983,32777,75614,25686,65871,42722,40204,,103902,678639,31302,72998,24186,63073,39176,39439,,124082
0400000US34,New Jersey,8881845,521684,1103003,348715,778901,566697,568968,1376863,4335930,266146,562550,178390,399400,290424,285524,,589327,4545915,255538,540453,170325,379501,276273,283444,,787536
0400000US35,New Mexico,2092434,128357,281753,84054,203990,141280,139379,341515,1035850,65489,143404,43073,106179,72920,71647,,155724,1056584,62868,138349,40981,97811,68360,67732,,185791
0400000US36,New York,19618453,1163606,2267695,710332,1870478,1484299,1376543,3068689,9519555,594981,1159106,362400,941241,742377,684918,,1309870,10098898,568625,1108589,347932,929237,741922,691625,,1758819
0400000US37,North Carolina,10155624,603193,1294042,395381,981234,691666,647819,1570998,4944759,308599,660611,201335,507858,344310,318284,,685104,5210865,294594,633431,194046,473376,347356,329535,,885894
