GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_022E,S0101_C01_007E,S0101_C01_008E,S0101_C01_028E,S0101_C02_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C02_022E,S0101_C02_007E,S0101_C02_008E,S0101_C02_028E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_022E,S0101_C03_007E,S0101_C03_008E,S0101_C03_028E
Geography,Geographic Area Name,Total!!Estimate!!Total population,Total!!Estimate!!AGE!!Under 5 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Total!!Estimate!!AGE!!25 to 29 years,Total!!Estimate!!AGE!!30 to 34 years,Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Male!!Estimate!!Total population,Male!!Estimate!!AGE!!Under 5 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Male!!Estimate!!AGE!!25 to 29 years,Male!!Estimate!!AGE!!30 to 34 years,Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over,Female!!Estimate!!Total population,Female!!Estimate!!AGE!!Under 5 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!5 to 14 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 17 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!18 to 24 years,Female!!Estimate!!AGE!!25 to 29 years,Female!!Estimate!!AGE!!30 to 34 years,Female!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,314107084,20102853,41148028,12564283,31410708,21359282,20731068,43032671,154515159,10198000,21014062,6489637,16069577,10816061,10507031,18850849,159591925,9735107,20108583,6224085,15320825,10533067,10373475,24417565
0400000US01,Alabama,4817678,298696,626298,192707,481768,313149,303514,698563,2336020,154177,317699,98113,242946,154177,149505,299011,2481658,146418,307726,94303,238239,158826,156344,399547
0400000US02,Alaska,728300,54623,102690,31317,80113,58992,51709,61906,380119,27749,52837,15965,44854,31550,26988,30410,348181,26810,49790,14972,35166,27506,24721,31684
0400000US04,Arizona,6561516,439622,912051,269022,656152,439622,433060,977666,3258791,224857,462748,136869,338914,228115,221598,446454,3302725,214677,445868,132109,317062,214677,211374,528436
0400000US05,Arkansas,2947036,194504,397850,117881,288810,191557,188610,442055,1447235,99859,202613,60784,146171,95518,95518,193929,1499801,94487,194974,58492,140981,95987,94487,247467
0400000US06,California,38066920,2512417,5100967,1598811,3997027,2816952,2702751,4606097,18911519,1285983,2590878,832107,2061356,1456187,1380541,2023533,19155401,1225946,2490202,785371,1915540,1360033,1321723,2585979
0400000US08,Colorado,5197580,337843,696476,197508,509363,384621,379423,613314,2608270,172146,357333,101723,266044,200837,195620,276477,2589310,163127,341789,98394,243395,186430,183841,339200
0400000US09,Connecticut,3592053,193971,452599,147274,341245,219115,211931,531624,1750621,99785,231082,77027,175062,112040,105037,225830,1841432,95754,220972,71816,165729,108644,108644,305678
0400000US10,Delaware,917060,55941,113715,34848,91706,60526,56858,141227,443923,28411,57710,17757,45724,30187,27967,62149,473137,27442,56303,17033,45894,30281,28861,79014
