GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_020E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C01_030E,S0101_C03_001E,S0101_C03_002E,S0101_C03_020E,S0101_C03_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,S0101_C03_030E,S0101_C05_001E,S0101_C05_002E,S0101_C05_020E,S0101_C05_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,S0101_C05_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Male!!Total population!!AGE!!Under 5 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Female!!Total population!!AGE!!Under 5 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0400000US27,Minnesota,5600166,351104,730921,217259,498444,375462,384571,887576,2789017,179597,373352,110824,252986,192527,195965,402899,2811149,171507,357569,106435,245458,182935,188606,484677
0400000US28,Mississippi,2981835,185274,400188,121759,291502,202813,183312,474270,1443708,94834,203949,61742,148389,100791,89266,206518,1538127,90440,196239,60017,143113,102022,94046,267752
0400000US29,Missouri,6124160,371046,771695,236682,567945,419089,399955,1033384,3004001,190192,394998,121009,290528,210519,199715,456168,3120159,180854,376697,115673,277417,208570,200240,577216
0400000US30,Montana,1061705,61338,128888,38363,98428,69366,67159,198119,534128,31867,66047,19616,52012,35973,33941,94801,527577,29471,62841,18747,46416,33393,33218,103318
0400000US31,Nebraska,1923826,130742,266277,78084,189183,127694,127747,302031,959677,67204,136372,40427,96553,65576,65418,135635,964149,63538,129905,37657,92630,62118,62329,166396
0400000US32,Nevada,3030281,184141,388610,114762,248948,225061,218691,478020,1520196,93906,198653,58712,128051,114492,111963,225702,1510085,90235,189957,56050,120897,110569,106728,252318
0400000US33,New Hampshire,1355244,63677,145758,48296,126351,85407,83760,245142,671802,32317,74905,24805,64403,44911,42684,112139,683442,31360,70853,23491,61948,40496,41076,133003
0400000US34,New Jersey,8885418,518349,1091956,343148,762464,573585,571704,1442938,4341123,265107,556876,175379,389953,293236,288783,622136,4544295,253242,535080,167769,372511,280349,282921,820802
0400000US35,New Mexico,2097021,122993,276805,83656,198269,144190,138706,364900,1038007,62616,141220,42870,103297,74404,71420,166426,1059014,60377,135585,40786,94972,69786,67286,198474
0400000US36,New York,19514849,1140669,2237295,693178,1794550,1472472,1392886,3221702,9474184,583126,1143891,354357,899905,737150,696927,1385315,10040665,557543,1093404,338821,894645,735322,695959,1836387
0400000US37,North Carolina,10386227,605299,1296281,400016,987858,720828,669998,1688354,5052667,309831,661369,202762,510036,360429,329037,739116,5333560,295468,634912,197254,477822,360399,340961,949238
0400000US38,North Dakota,760394,53408,98208,26413,84840,60455,55001,116406,389284,27552,50510,13277,45092,32539,29897,53294,371110,25856,47698,13136,39748,27916,25104,63112
0400000US39,Ohio,11675275,692983,1447010,453995,1066321,796104,743150,1990621,5721796,354351,739914,232504,542762,403419,372836,873766,5953479,338632,707096,221491,523559,392685,370314,1116855
0400000US40,Oklahoma,3949342,259003,538785,158582,381292,278620,266489,619195,1956617,132515,274658,81441,198208,141871,135170,276023,1992725,126488,264127,77141,183084,136749,131319,343172
0400000US41,Oregon,4176346,228314,490426,148336,364440,298071,296571,734932,2070627,117162,251452,76083,186084,151719,150781,336428,2105719,111152,238974,72253,178356,146352,145790,398504
