GEO_ID,NAME,S0101_C01_001E,S0101_C02_002E,S0101_C02_020E,S0101_C02_021E,S0101_C01_023E,S0101_C01_007E,S0101_C01_008E,S0101_C02_030E,S0101_C03_001E,S0101_C04_002E,S0101_C04_020E,S0101_C04_021E,S0101_C03_023E,S0101_C03_007E,S0101_C03_008E,S0101_C04_030E,S0101_C05_001E,S0101_C06_002E,S0101_C06_020E,S0101_C06_021E,S0101_C05_023E,S0101_C05_007E,S0101_C05_008E,S0101_C06_030E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Percent!!Total population!!AGE!!Under 5 years,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Total!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Percent!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Male!!Total population,Estimate!!Percent Male!!Total population!!AGE!!Under 5 years,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Male!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Male!!Total population!!AGE!!25 to 29 years,Estimate!!Male!!Total population!!AGE!!30 to 34 years,Estimate!!Percent Male!!Total population!!SELECTED AGE CATEGORIES!!65 years and over,Estimate!!Female!!Total population,Estimate!!Percent Female!!Total population!!AGE!!Under 5 years,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!5 to 14 years,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!15 to 17 years,Estimate!!Female!!Total population!!SELECTED AGE CATEGORIES!!18 to 24 years,Estimate!!Female!!Total population!!AGE!!25 to 29 years,Estimate!!Female!!Total population!!AGE!!30 to 34 years,Estimate!!Percent Female!!Total population!!SELECTED AGE CATEGORIES!!65 years and over
0100000US,United States,321004407,19902273,41088564,12519172,31131484,22406918,21637255,47829657,158018753,10113200,21016494,6478769,15968535,11378442,10877571,21016494,162985654,9779139,20210221,6193455,15162949,11028476,10759684,26729647
0400000US01,Alabama,4850771,291046,616048,194031,471452,322950,305138,761571,2350806,148101,315008,98734,237931,159520,149607,329113,2499965,142498,302496,94999,233521,163430,155531,432494
0400000US02,Alaska,738565,53915,101922,29543,76877,61956,56020,74595,386319,27815,52539,15453,43719,32963,29497,37087,352246,26418,49314,14442,33158,28993,26523,37338
0400000US04,Arizona,6809946,435837,912533,272398,671345,469013,448801,1103211,3385055,223414,463753,138787,348038,243575,230404,511143,3424891,212343,448661,133571,323307,225438,218397,595931
0400000US05,Arkansas,2977944,190588,396067,119118,286456,196865,190888,476471,1461651,97931,201708,61389,146201,98119,95862,210478,1516293,92494,194086,57619,140255,98746,95026,265351
0400000US06,California,38982847,2494902,5067770,1559314,3917309,2989780,2833092,5145736,19366579,1278194,2595122,794030,2021376,1544173,1448734,2285256,19616268,1216209,2491266,765034,1895933,1445607,1384358,2863975
0400000US08,Colorado,5436519,331628,712184,206588,516709,412524,411934,706747,2731315,172073,363265,106521,270221,213983,213278,322295,2705204,162312,346266,100093,246488,198541,198656,384139
0400000US09,Connecticut,3594478,186913,431337,143779,351449,220450,218789,575116,1754046,94718,221010,73670,181389,113200,108568,247320,1840432,90181,211650,69936,170060,107250,110221,327597
0400000US10,Delaware,943732,55680,114192,34918,88139,65393,59848,160434,456876,28326,57566,17818,44417,32722,29803,71273,486856,27264,56475,17040,43722,32671,30045,89095
0400000US11,District of Columbia,672391,43705,59170,15465,76490,81625,74765,80015,319046,22014,29671,7657,35267,37358,35738,32543,353345,21554,29328,7774,41223,44267,39027,47348
0400000US12,Florida,20278447,1115315,2291465,709746,1770799,1338522,1264045,3934019,9914361,565119,1169895,366831,909836,681071,634661,1764756,10364086,538932,1119321,352379,860963,657451,629384,2155730
0400000US13,Georgia,10201635,652905,1418027,428469,1008606,712031,689578,1295608,4968887,332915,720489,218631,516314,355014,337208,566453,5232748,324430,695955,209310,492292,357017,352370,737817
0400000US15,Hawaii,1421658,90986,169177,46915,129755,104714,100691,237417,713981,47123,87106,24275,71343,55492,51678,107097,707677,44584,82091,23353,58412,49222,49013,130920
0400000US16,Idaho,1657375,114359,248606,72925,157451,108302,107800,241977,830627,58144,127086,37378,81754,55189,54439,113796,826748,56219,120705,34723,75697,53113,53361,128146
0400000US17,Illinois,12854526,784126,1658234,514181,1229450,895096,887004,1851052,6312600,404006,845888,265129,627160,453257,445126,795388,6541926,385974,811199,255135,602290,441839,441878,1046708
0400000US18,Indiana,6614418,416708,886332,271191,667112,429246,420497,965705,3258279,215046,452901,140106,341411,215945,209996,423576,3356139,204724,432942,134246,325701,213301,210501,547051
0400000US19,Iowa,3118102,196440,408471,121606,321484,192748,198308,502014,1548035,100622,210533,61921,165601,98591,101264,221369,1570067,95774,199399,59663,155883,94157,97044,279472
0400000US20,Kansas,2903820,197460,403631,119057,298805,191610,192374,426862,1445980,101219,205329,60731,156707,99132,97548,189423,1457840,96217,196808,58314,142098,92478,94826,237628
0400000US21,Kentucky,4424376,274311,566320,172551,425585,289197,280316,672505,2179025,141637,289810,89340,219812,145723,140684,294168,2245351,132476,276178,83078,205773,143474,139632,377219
0400000US22,Louisiana,4663461,312452,620240,181875,458659,343202,328093,657548,2281239,157405,314811,93531,234232,171601,163428,285155,2382222,152462,302542,90524,224427,171601,164665,369244
0400000US23,Maine,1330158,63848,144987,47886,112245,77540,76205,250070,651040,33203,74219,24088,57660,38914,37593,113281,679118,31239,70628,23090,54585,38626,38612,137182
0400000US24,Maryland,5996079,365761,749510,227851,553039,417161,410049,851443,2906277,186002,383629,119157,282217,208427,201179,366191,3089802,179209,367686,114323,270822,208734,208870,482009
