"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","514402","4918","257706","2934","20513","850","20550","886","19959","822","12664","553","9479","454","26312","1001","24039","917","21361","908","37812","801","31585","828","19894","693","9436","441","3320","342","782","192","256696","2873","19484","919","19590","866","19478","916","12109","616","9440","608","23991","842","22912","612","20765","818","37704","962","33014","1011","21329","659","10412","518","5128","430","1340","238",
"0400000US01","Alabama","1298","295","673","199","41","37","55","51","14","22","0","28","20","27","130","101","41","55","74","58","94","64","105","61","57","44","40","31","0","28","2","3","625","174","76","76","13","21","9","15","18","27","34","34","42","35","78","46","27","42","93","55","91","52","109","69","12","18","23","34","0","28",
"0400000US02","Alaska","7363","341","3597","266","436","64","483","102","286","128","224","81","64","57","489","99","360","68","249","56","499","126","229","95","125","60","103","46","50","45","0","23","3766","188","379","126","482","130","286","120","190","91","148","74","435","95","427","68","282","39","492","75","378","52","176","62","85","51","4","7","2","4",
"0400000US04","Arizona","12506","518","6938","351","521","126","645","146","401","164","326","162","167","131","642","176","730","127","751","168","1143","155","755","122","579","134","180","101","37","33","61","80","5568","409","466","88","556","129","452","177","245","92","123","65","464","97","602","186","548","114","821","141","624","156","362","104","172","83","113","62","20","31",
"0400000US05","Arkansas","5516","321","2656","171","456","49","443","97","184","94","40","43","124","63","252","149","279","41","351","83","295","55","126","73","92","27","14","24","0","28","0","28","2860","260","424","63","419","137","236","68","209","119","62","71","194","74","269","43","272","155","422","132","223","125","53","61","41","46","36","41","0","28",
"0400000US06","California","144236","2233","71052","1293","4267","344","4987","475","5034","427","3661","275","2673","251","6970","357","6020","411","5994","368","10522","442","10383","447","6128","290","3060","279","1156","235","197","98","73184","1357","4594","387","4568","363","4965","410","3550","329","2699","294","6664","479","6188","373","5655","347","11095","410","10840","455","6449","310","3518","303","2032","281","367","114",
"0400000US08","Colorado","6034","474","2995","269","213","101","172","101","238","107","118","69","171","104","160","60","386","126","403","133","491","123","304","102","279","99","51","34","3","4","6","9","3039","317","281","113","170","68","227","82","120","75","114","75","429","131","309","93","264","121","410","137","367","148","320","115","20","25","0","29","8","17",
"0400000US09","Connecticut","1472","195","573","156","26","40","54","39","21","22","87","77","29","39","38","41","55","62","87","84","81","54","24","34","43","56","28","36","0","29","0","29","899","186","37","38","14","17","11","14","8","13","28","39","131","111","17","19","39","39","345","168","202","98","15","26","52","60","0","29","0","29",
"0400000US10","Delaware","377","307","137","128","35","50","0","27","0","27","0","27","0","27","1","7","1","3","13","17","77","89","0","27","0","27","6","14","4","7","0","27","240","187","0","27","33","52","33","52","0","27","0","27","10","13","0","27","52","63","35","46","18","19","1","2","0","27","58","71","0","27",
