"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","535761","5223","268974","3286","21050","1017","22156","889","20056","900","12942","579","9630","618","26259","1050","25505","1021","22642","701","38261","889","32781","760","22125","745","10849","446","3944","417","774","155","266787","2731","19282","869","20726","902","20472","972","12285","560","9377","466","23894","885","24848","775","22381","803","37952","1008","32991","807","23612","786","12107","540","5495","366","1365","244",
"0400000US01","Alabama","1430","264","784","190","56","47","43","49","42","37","0","27","0","27","76","64","55","63","130","76","121","63","122","65","115","84","24","21","0","27","0","27","646","182","28","25","10","20","33","22","31","27","67","80","29","26","95","56","16","26","109","62","99","56","83","44","10","16","11","17","25","33",
"0400000US02","Alaska","8335","335","4075","251","453","105","648","102","223","88","215","68","104","71","468","120","420","36","286","127","668","151","246","101","175","69","98","64","71","58","0","22","4260","199","509","121","510","101","316","81","275","51","87","53","525","68","503","65","313","37","538","53","389","69","163","66","99","57","33","36","0","22",
"0400000US04","Arizona","12638","669","6768","421","640","168","564","200","437","194","368","101","167","82","681","100","669","98","656","109","923","125","767","119","621","93","188","68","77","47","10","16","5870","377","469","137","778","179","494","159","231","75","214","97","442","72","648","134","563","62","752","91","503","102","445","103","187","93","120","60","24","40",
"0400000US05","Arkansas","6278","493","3250","327","474","212","635","101","174","109","100","94","41","56","208","114","321","158","543","198","414","91","177","111","122","44","41","43","0","27","0","27","3028","309","397","218","489","198","276","123","225","156","89","89","165","117","322","139","274","149","478","154","173","114","69","42","27","35","44","57","0","27",
"0400000US06","California","147286","1999","72818","1313","4576","379","4810","408","4887","433","3661","335","2900","308","6579","471","6638","379","5838","322","10431","424","10372","367","6985","328","3589","304","1415","228","137","75","74468","1293","4372","444","4532","394","4842","493","3418","250","2647","281","6098","465","6654","354","6001","385","11081","440","11095","398","7406","300","4139","289","1853","230","330","116",
"0400000US08","Colorado","6641","516","3223","295","195","108","202","91","208","96","104","78","155","79","290","95","341","129","438","100","607","171","407","141","190","79","61","47","16","21","9","13","3418","397","279","110","203","72","262","93","116","96","99","52","511","158","353","118","565","196","370","99","247","74","377","114","23","25","13","21","0","28",
"0400000US09","Connecticut","1105","263","494","172","13","19","44","27","19","23","28","15","17","24","58","45","112","107","70","69","36","41","37","35","36","32","24","30","0","28","0","28","611","176","6","14","52","57","31","31","0","28","45","49","72","67","39","42","6","9","170","91","87","41","62","49","41","38","0","28","0","28",
"0400000US10","Delaware","494","363","234","197","35","57","0","27","0","27","0","27","2","5","1","3","3","6","67","98","55","70","31","33","9","13","11","20","4","6","16","22","260","194","0","27","36","58","51","63","0","27","0","27","13","17","20","26","42","69","43","36","17","22","5","8","0","27","33","46","0","27",
"0400000US11","District of Columbia","195","107","49","67","0","29","0","29","0","29","0","29","0","29","0","29","0","29","16","25","33","59","0","29","0","29","0","29","0","29","0","29","146","91","0","29","0","29","0","29","0","29","0","29","0","29","45","46","25","31","0","29","0","29","76","72","0","29","0","29","0","29",
"0400000US12","Florida","12128","877","6149","622","617","201","351","127","403","147","267","120","258","120","654","216","703","290","593","224","636","189","770","214","458","169","365","147","70","62","4","14","5979","543","459","186","337","132","448","132","133","94","200","92","405","134","811","224","635","204","904","260","788","234","506","173","183","105","142","139","28","33",
"0400000US13","Georgia","4317","533","2190","332","199","115","226","77","108","43","92","36","63","48","240","127","121","78","118","84","463","157","258","111","206","99","45","44","51","44","0","30","2127","361","135","83","121","50","108","59","138","66","66","76","252","123","275","138","221","77","324","123","271","117","73","44","107","65","0","30","36","28",
