"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","500592","4731","251420","2925","19880","807","19525","913","19900","893","13215","656","9369","536","26658","1034","22978","833","20264","927","36744","1121","30827","849","19348","649","8990","425","2996","302","726","182","249172","3175","18982","776","18766","926","19074","893","12130","709","8738","607","24259","866","22942","903","19891","859","36772","1038","32144","993","19802","636","9722","467","4558","412","1392","245",
"0400000US01","Alabama","1256","339","628","187","55","46","49","50","12","20","16","26","19","29","130","96","35","42","41","42","96","72","115","62","28","29","30","27","0","89","2","4","628","218","65","56","32","35","34","38","11","21","23","23","107","89","48","37","26","37","109","73","60","45","98","63","15","25","0","89","0","89",
"0400000US02","Alaska","6848","348","3404","258","377","67","341","84","327","116","174","47","49","40","522","108","365","72","244","58","556","124","188","88","125","49","106","44","30","28","0","78","3444","209","386","118","463","111","205","111","235","54","150","47","340","74","388","80","216","92","462","94","352","78","101","56","114","64","30","44","2","4",
"0400000US04","Arizona","11933","638","6663","388","444","124","565","127","377","155","309","152","143","94","585","160","711","165","770","155","1200","143","707","120","504","149","213","101","57","44","78","95","5270","438","367","116","516","133","327","124","270","98","117","83","493","104","589","159","572","121","817","127","598","124","354","115","143","80","73","61","34","53",
"0400000US05","Arkansas","5031","349","2465","208","488","101","313","102","278","114","75","55","107","45","215","140","265","41","285","50","235","55","105","55","81","31","18","27","0","89","0","89","2566","235","403","84","395","115","222","87","176","106","56","57","126","85","308","102","167","103","360","108","243","122","16","17","47","55","47","57","0","89",
"0400000US06","California","141382","2446","70052","1391","4275","348","4981","551","4871","438","3688","289","2834","277","6810","411","6145","377","5770","342","10277","510","10340","488","6082","300","2924","249","882","181","173","103","71330","1494","4567","414","4424","422","4981","438","3317","288","2554","390","6710","425","6189","300","5487","373","11071","428","10416","458","6176","288","3295","270","1693","255","450","162",
"0400000US08","Colorado","5798","473","2912","265","240","108","184","93","241","134","146","69","102","86","160","94","395","152","343","114","452","136","312","120","270","102","53","44","14","16","0","92","2886","369","257","116","100","79","221","93","115","91","92","67","386","128","335","123","294","126","383","154","302","142","339","130","33","33","0","92","29","32",
"0400000US09","Connecticut","1327","160","384","141","15","25","46","56","0","92","63","72","10","15","46","40","35","48","35","42","44","36","31","39","26","31","33","45","0","92","0","92","943","202","192","113","24","28","0","92","12","21","37","41","119","109","87","69","44","57","251","133","137","64","15","24","25","29","0","92","0","92",
"0400000US10","Delaware","442","297","150","130","47","57","0","89","0","89","0","89","0","89","0","89","0","89","16","19","66","72","0","89","0","89","0","89","21","34","0","89","292","183","0","89","31","49","32","49","0","89","0","89","17","25","0","89","89","83","41","46","44","61","1","3","0","89","37","45","0","89",
