"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0100000US","United States","624863","6340","316666","4238","21610","1180","23568","1048","22123","1016","14017","724","10258","768","26011","980","27252","962","27183","1141","48038","1884","35840","1098","32349","820","18804","696","7394","484","2219","292","308197","3655","19442","907","20197","942","22505","1172","13169","798","9596","762","23131","1118","25676","1027","25379","962","44288","1102","37617","1092","32195","957","22035","867","10156","706","2811","412",
"0400000US01","Alabama","2253","714","921","337","198","141","54","43","64","93","54","60","9","15","105","66","65","85","64","58","69","58","77","49","117","115","17","20","7","15","21","27","1332","460","88","58","148","119","7","10","37","37","78","77","98","83","114","73","66","85","203","169","101","72","158","102","33","33","179","167","22","31",
"0400000US02","Alaska","11209","462","5919","320","563","152","760","149","463","129","264","104","240","144","471","189","581","142","429","55","820","254","715","248","334","135","157","108","122","119","0","24","5290","317","558","90","497","199","551","201","367","104","314","62","277","75","464","51","366","118","709","108","592","84","182","88","363","107","38","35","12","21",
"0400000US04","Arizona","14116","885","7746","636","529","149","445","207","392","113","306","112","101","118","714","163","985","196","825","131","1328","270","998","184","631","144","335","112","112","75","45","43","6370","485","368","110","467","152","355","136","123","97","275","105","413","140","682","181","673","178","780","170","919","142","596","110","607","143","85","52","27","31",
"0400000US05","Arkansas","11117","736","6001","456","600","114","644","177","571","147","281","157","281","190","526","117","392","147","624","300","1186","271","399","69","291","114","100","74","105","81","1","2","5116","426","482","67","497","132","603","161","387","155","205","84","425","93","390","46","351","145","937","233","438","146","183","107","122","121","94","104","2","4",
"0400000US06","California","150531","2498","75340","1735","4196","489","5034","510","4653","524","2908","320","2120","337","5768","454","6021","343","6534","478","11217","707","9020","501","9819","410","5319","390","2186","272","545","164","75191","1517","3736","435","4066","434","4594","560","2849","308","1803","272","5467","509","5987","396","6219","466","11667","527","9949","431","9561","353","5645","356","2956","319","692","228",
"0400000US08","Colorado","8094","715","4053","469","191","115","185","107","232","124","112","73","165","101","374","112","317","142","316","157","701","195","524","180","638","155","105","78","91","55","102","61","4041","440","260","120","98","73","396","200","194","133","63","59","195","81","390","127","304","106","558","181","513","157","457","148","332","104","281","75","0","30",
"0400000US09","Connecticut","1345","391","674","226","32","59","29","34","25","41","42","40","17","25","4","8","167","142","29","42","121","84","124","95","45","55","39","47","0","31","0","31","671","230","16","26","49","30","81","66","75","65","0","31","0","31","84","55","89","76","92","57","96","68","43","72","46","62","0","31","0","31",
"0400000US10","Delaware","365","117","205","98","0","30","0","30","0","30","0","30","22","40","36","43","23","24","24","36","23","30","13","22","64","66","0","30","0","30","0","30","160","88","0","30","0","30","23","35","0","30","17","20","25","28","9","16","12","23","19","25","0","30","18","21","9","15","28","41","0","30",
"0400000US11","District of Columbia","420","69","182","68","16","24","0","33","0","33","0","33","0","33","12","21","23","33","46","50","14","24","40","33","14","24","17","27","0","33","0","33","238","78","0","33","0","33","0","33","0","33","0","33","31","30","93","74","3","6","36","47","23","20","22","28","22","37","8","17","0","33",
"0400000US12","Florida","13200","1045","6385","715","317","177","317","142","419","152","358","181","293","150","587","209","456","176","743","234","1001","240","765","225","665","198","362","138","71","65","31","36","6815","748","217","90","329","160","403","170","248","146","301","160","549","219","439","155","563","210","960","258","958","242","660","187","729","208","389","198","70","51",
