"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","560021","4775","279671","2965","21013","1104","21988","904","21136","921","12059","514","10088","567","25774","882","26233","888","24312","823","40112","949","33469","1001","24861","748","12629","576","4805","452","1192","231","280350","2704","20285","731","21019","898","20352","973","11927","620","9071","525","23904","902","25619","793","23898","796","39744","986","35310","1026","26439","773","14468","650","6227","465","2087","284",
"0400000US01","Alabama","2008","584","911","281","121","108","91","74","63","44","26","22","0","27","26","35","42","40","151","72","107","80","153","110","94","49","37","28","0","27","0","27","1097","363","19","19","144","148","56","41","68","36","0","27","56","38","142","72","155","123","143","80","149","61","104","69","23","26","21","21","17","23",
"0400000US02","Alaska","8862","326","4422","231","511","97","582","129","465","117","229","97","194","86","380","97","421","54","329","122","497","81","366","47","340","93","59","45","49","45","0","20","4440","219","419","60","509","144","388","116","304","122","87","53","477","70","508","91","352","29","604","53","411","62","181","88","146","81","54","50","0","20",
"0400000US04","Arizona","12863","682","6776","393","516","99","370","134","398","130","211","79","272","94","635","96","661","110","814","143","980","161","909","135","620","126","274","83","86","53","30","29","6087","461","436","112","564","153","382","102","189","79","245","104","448","78","746","148","585","121","772","98","650","110","625","116","343","126","72","45","30","27",
"0400000US05","Arkansas","6738","456","3462","341","369","129","562","193","477","197","60","88","36","67","203","105","342","176","410","84","640","149","180","91","165","80","18","30","0","27","0","27","3276","250","388","116","521","152","322","152","187","144","112","74","206","103","344","101","494","165","348","141","139","90","175","80","35","36","5","9","0","27",
"0400000US06","California","150908","2216","74903","1132","5174","427","4898","510","4682","438","3119","266","2534","249","6651","411","6527","361","6136","347","10930","472","10255","415","7703","308","4132","272","1823","275","339","121","76005","1475","4723","388","4553","476","4683","474","3060","286","2175","219","6024","431","6807","384","6397","374","11294","384","11198","407","8089","275","4516","354","1947","236","539","146",
"0400000US08","Colorado","7441","598","3693","448","218","116","257","115","287","111","101","71","243","113","351","142","308","110","427","125","671","208","337","116","287","91","133","71","57","48","16","25","3748","341","282","127","276","80","217","95","130","64","176","60","370","118","448","146","574","211","459","132","276","94","455","111","67","48","18","25","0","27",
"0400000US09","Connecticut","1031","163","448","103","18","37","32","23","57","49","42","14","17","21","74","63","55","57","8","17","15","21","102","68","28","22","0","28","0","28","0","28","583","147","34","57","29","50","55","51","10","15","0","28","44","44","40","43","56","49","163","72","39","35","49","52","64","48","0","28","0","28",
"0400000US10","Delaware","461","232","254","159","36","65","0","27","0","27","0","27","11","17","33","58","28","23","62","74","0","27","31","26","9","12","6","9","3","8","35","36","207","104","33","39","12","14","27","35","0","27","0","27","24","29","42","35","5","8","27","30","15","20","22","29","0","27","0","27","0","27",
"0400000US11","District of Columbia","271","97","141","106","0","28","0","28","0","28","0","28","0","28","12","18","0","28","13","19","103","101","0","28","13","21","0","28","0","28","0","28","130","85","0","28","0","28","0","28","0","28","0","28","0","28","109","85","12","19","0","28","0","28","0","28","0","28","0","28","9","14",
"0400000US12","Florida","11288","856","5496","606","535","295","191","83","410","144","109","53","168","88","531","173","519","202","553","209","919","275","661","223","457","138","360","125","60","41","23","27","5792","479","243","109","400","127","368","105","148","102","226","129","400","131","483","153","788","208","937","223","754","200","453","132","375","104","196","112","21","24",
"0400000US13","Georgia","4916","558","2422","390","208","118","254","81","182","65","114","56","94","65","154","72","125","83","244","152","288","102","293","182","308","144","111","100","47","45","0","30","2494","363","186","107","89","58","249","99","157","84","12","23","209","120","422","159","204","113","387","132","237","114","203","97","107","66","0","30","32","27",
"0400000US15","Hawaii","143973","2467","72851","1343","5312","461","6468","464","5744","415","3609","191","2319","159","5761","354","6001","415","5573","343","9602","387","9253","350","7145","305","4009","227","1641","209","414","108","71122","1442","5780","384","5679","485","5650","472","3296","255","2236","135","5542","351","5180","298","5288","279","9242","366","8786","333","6920","277","4623","197","2155","217","745","187",
"0400000US16","Idaho","2003","321","939","189","25","26","31","28","124","59","36","30","59","63","151","90","61","46","43","28","280","84","44","31","27","38","58","61","0","27","0","27","1064","256","26","29","131","74","106","52","23","34","97","86","176","99","46","36","104","78","145","86","58","67","98","77","35","39","16","24","3","4",
"0400000US17","Illinois","4186","452","2313","346","202","93","188","72","32","31","31","21","9","12","289","139","271","157","163","74","400","103","291","90","257","111","113","65","28","24","39","45","1873","250","72","58","116","51","105","52","83","59","141","88","187","76","82","51","253","107","337","92","268","84","115","59","82","40","18","22","14","19",
"0400000US18","Indiana","2746","446","1251","318","125","89","65","50","105","51","49","45","83","73","80","52","127","91","94","70","248","118","128","64","105","70","42","41","0","27","0","27","1495","212","141","64","214","72","170","82","62","35","35","43","88","64","176","81","71","50","177","66","203","97","92","56","47","40","19","22","0","27",
"0400000US19","Iowa","2422","239","1240","195","70","34","166","73","103","73","8","9","40","38","84","52","135","56","217","88","213","116","65","41","68","38","66","49","0","22","5","9","1182","166","160","60","58","43","109","44","46","38","3","6","74","65","165","68","158","80","84","65","141","75","105","31","48","39","31","32","0","22",
"0400000US20","Kansas","1874","250","1198","206","100","31","148","70","19","19","47","27","15","17","207","103","173","101","86","44","202","77","125","81","62","42","0","23","14","16","0","23","676","118","17","26","79","34","14","20","46","24","51","38","64","58","91","57","65","47","99","44","29","22","50","40","31","34","19","27","21","27",
"0400000US21","Kentucky","2584","377","1360","309","114","77","20","27","261","132","60","48","32","26","282","141","48","34","51","63","160","84","166","92","166","123","0","27","0","27","0","27","1224","207","177","92","128","65","92","68","35","25","22","29","131","90","185","82","117","59","166","76","126","66","15","19","9","15","0","27","21","19",
"0400000US22","Louisiana","1464","238","607","170","41","29","22","18","63","47","41","47","76","48","10","15","96","73","23","23","75","44","78","61","28","21","31","22","6","9","17","28","857","162","71","36","27","18","33","33","63","32","26","26","50","28","75","37","61","49","121","60","150","85","42","32","111","60","27","30","0","29",
"0400000US23","Maine","211","72","84","48","0","23","0","23","11","9","0","23","0","23","0","23","30","42","0","23","27","23","9","12","4","7","3","7","0","23","0","23","127","57","4","7","0","23","4","5","9","14","0","23","2","3","6","11","0","23","46","34","30","30","17","25","3","4","6","9","0","23",
