"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","546255","4552","273551","3200","21348","912","22611","981","20207","803","12573","564","9552","634","26125","910","25141","928","23493","757","39287","1057","32773","921","23695","721","11574","598","4249","361","923","182","272704","2784","19050","767","21436","1016","20314","1010","12163","478","9460","556","24202","706","25397","923","23034","786","39069","889","33309","863","24507","639","13360","517","5823","420","1580","276",
"0400000US01","Alabama","2439","742","1199","406","228","181","137","102","75","40","0","27","0","27","75","58","67","52","183","94","193","115","93","47","76","61","72","54","0","27","0","27","1240","380","22","20","196","174","51","34","80","39","16","26","63","43","129","72","158","116","249","105","147","74","98","59","0","27","11","16","20","29",
"0400000US02","Alaska","8841","428","4407","293","533","137","622","160","348","133","251","54","185","116","410","88","434","51","250","124","657","118","373","47","173","74","100","57","71","59","0","20","4434","249","420","69","553","120","325","99","280","85","62","52","563","68","559","127","370","61","583","77","381","55","131","71","157","74","50","49","0","20",
"0400000US04","Arizona","12471","774","6541","453","563","171","510","173","372","157","310","105","196","94","728","144","686","123","643","95","852","135","730","104","657","105","192","69","77","48","25","29","5930","434","526","128","708","217","464","186","187","61","173","61","447","80","659","125","546","91","763","102","570","111","518","113","194","78","135","61","40","42",
"0400000US05","Arkansas","6845","528","3542","323","472","138","792","113","214","151","77","101","57","56","168","93","438","172","586","169","409","180","170","110","132","56","27","34","0","27","0","27","3303","311","375","136","695","149","278","127","156","105","49","61","154","91","406","115","396","168","373","172","169","99","117","64","87","78","48","66","0","27",
"0400000US06","California","150370","1984","74708","1341","4981","398","4896","493","4864","414","3503","317","2750","306","6654","328","6666","351","6170","317","10745","521","10341","465","7561","319","3783","258","1639","291","155","88","75662","1236","4591","309","4760","420","4733","491","3339","280","2413","226","6020","336","6842","346","6335","394","11400","443","11091","384","7597","336","4250","289","1819","210","472","125",
"0400000US08","Colorado","7695","713","3908","430","248","118","243","116","337","155","134","89","224","94","382","141","278","104","422","132","809","197","429","128","268","85","91","52","35","29","8","13","3787","418","237","113","356","123","274","107","183","103","163","67","410","134","487","166","554","175","421","115","197","85","427","74","64","62","14","16","0","27",
"0400000US09","Connecticut","981","189","497","155","24","28","40","26","33","33","34","15","17","20","99","76","108","91","13","23","0","28","58","46","50","46","21","28","0","28","0","28","484","121","0","28","48","62","35","35","0","28","12","15","37","41","15","18","22","27","131","61","50","36","75","60","59","55","0","28","0","28",
"0400000US10","Delaware","306","141","194","116","0","27","0","27","0","27","0","27","3","9","2","4","7","12","78","110","0","27","54","50","11","13","10","17","4","8","25","25","112","69","0","27","0","27","13","23","0","27","0","27","20","25","26","31","0","27","27","32","11","14","15","25","0","27","0","27","0","27",
"0400000US11","District of Columbia","250","96","126","81","0","28","0","28","0","28","0","28","0","28","0","28","0","28","12","19","101","80","0","28","13","21","0","28","0","28","0","28","124","94","0","28","0","28","0","28","0","28","0","28","0","28","106","94","9","16","0","28","0","28","0","28","0","28","0","28","9","15",
"0400000US12","Florida","11024","793","5283","578","695","274","263","183","403","217","174","89","201","104","493","165","474","143","406","147","775","222","637","161","407","178","310","219","28","26","17","27","5741","594","336","188","344","128","419","139","196","121","236","124","462","158","535","194","600","164","980","289","660","193","478","140","274","104","205","131","16","20",
"0400000US13","Georgia","4704","499","2378","363","179","101","261","101","186","73","128","48","88","71","217","119","97","71","174","105","381","146","300","130","282","139","45","43","40","35","0","30","2326","360","172","98","139","63","192","88","167","78","69","86","210","108","294","139","221","113","326","125","296","187","91","56","113","77","0","30","36","37",
"0400000US15","Hawaii","138901","2345","70333","1384","5540","423","6359","499","5433","424","3563","231","2037","169","5845","300","5703","338","5320","376","9254","340","9087","292","6615","332","3667","247","1497","185","413","108","68568","1324","5639","361","5274","466","5369","417","3226","217","2293","129","5640","383","4979","271","5083","276","8858","325","8524","312","6588","247","4316","217","2142","227","637","145",
"0400000US16","Idaho","1921","327","989","203","56","42","27","24","93","67","5","10","79","80","140","91","61","49","49","48","273","109","133","86","40","48","33","30","0","27","0","27","932","248","44","34","91","73","88","56","12","17","122","91","190","92","51","33","37","39","100","66","18","25","175","107","2","5","0","27","2","4",
"0400000US17","Illinois","3407","385","1832","287","118","72","169","66","6","8","57","77","8","10","282","148","161","86","151","54","282","112","276","92","186","76","108","75","8","12","20","29","1575","247","52","40","106","53","72","43","43","40","138","61","113","54","88","49","215","112","310","84","233","90","116","63","67","43","14","13","8","14",
