"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0100000US","United States","2786431","16957","1407637","10660","87679","1959","100860","2067","112712","2250","69338","1572","48229","1353","115924","2247","117437","2031","110077","2542","195904","2804","168024","2889","150710","2150","88774","1612","34206","876","7763","598","1378794","8579","84984","1864","95938","2273","109466","2212","65715","1805","47646","1425","109814","1689","105162","1830","97951","1962","183251","2392","162911","2178","154151","1968","103037","1659","44193","1129","14575","715",
"0400000US01","Alabama","21122","1564","10300","986","492","151","399","123","546","164","785","237","440","167","960","257","707","222","583","169","1664","323","1081","235","1263","221","1107","235","175","70","98","58","10822","820","573","142","577","158","607","156","397","143","350","137","826","298","557","175","514","135","1569","256","1456","228","1731","326","1174","243","424","137","67","43",
"0400000US02","Alaska","104957","1788","52982","1108","4508","312","5315","352","4544","292","2730","205","1732","185","4288","290","4419","238","3761","316","6421","316","5032","295","5707","206","3243","175","1060","102","222","54","51975","1017","4499","271","4725","305","4670","314","2488","160","1620","161","3752","278","4084","248","3977","193","5983","362","4917","310","5487","296","3561","209","1672","155","540","171",
"0400000US04","Arizona","297590","4524","145951","2500","10027","599","11227","743","13364","622","7564","410","5058","334","13197","739","13216","483","12425","493","18419","630","15469","513","13569","444","8232","395","3436","260","748","116","151639","2606","9373","441","11487","735","12676","706","7185","342","5302","288","12334","521","12174","525","11385","468","19453","798","17477","540","15780","484","10267","344","5065","372","1681","257",
"0400000US05","Arkansas","16840","1020","8325","637","586","191","691","174","574","146","266","83","240","106","610","201","568","154","559","162","1193","216","632","131","1374","229","750","181","253","87","29","39","8515","674","517","163","474","137","531","129","373","149","436","131","692","175","512","129","528","128","1349","232","747","144","904","162","1051","215","240","81","161","96",
"0400000US06","California","394188","8220","201201","5089","9867","812","12134","826","13345","981","8879","658","6185","523","15727","939","18113","1310","16836","1016","31022","1196","25900","1269","23237","955","13117","627","5559","487","1280","314","192987","3937","9552","776","11570","838","13960","805","8422","676","6514","619","15118","941","16140","883","14571","837","27093","1040","24220","992","22123","887","15179","940","6262","490","2263","360",
"0400000US08","Colorado","57022","2874","29317","1561","1438","318","1960","310","1931","321","1272","312","1319","293","2253","408","2583","458","2364","502","4194","491","3722","501","3274","443","2034","273","872","203","101","56","27705","1675","1261","323","1965","373","2415","465","1103","214","833","215","1945","342","1999","293","2152","383","4183","465","3510","443","3471","496","1943","252","693","172","232","82",
"0400000US09","Connecticut","9043","1059","4822","644","275","125","328","112","253","92","140","94","161","90","367","131","224","95","269","101","941","249","921","320","597","181","249","84","97","68","0","31","4221","621","183","102","318","134","317","169","219","95","248","173","210","102","297","127","453","185","662","206","528","177","474","152","195","101","91","61","26","28",
"0400000US10","Delaware","3309","703","1638","388","61","61","46","45","172","112","18","17","68","56","136","56","20","21","33","30","237","103","202","130","284","111","198","134","96","27","67","57","1671","375","35","39","21","34","82","74","100","70","46","53","225","136","152","97","60","45","175","118","103","56","320","100","161","72","162","62","29","23",
"0400000US11","District of Columbia","2209","510","1115","311","68","116","21","34","84","130","43","42","10","16","85","76","83","88","43","43","313","182","173","100","56","50","77","54","59","67","0","33","1094","344","55","99","0","33","12","19","27","40","53","51","57","43","31","44","57","45","108","86","148","134","184","67","345","271","17","36","0","33",
"0400000US12","Florida","59197","3502","32728","2020","1862","528","2093","426","2194","408","1039","252","889","221","2641","384","2400","391","2722","432","4679","613","4428","548","3609","396","2623","343","1232","304","317","150","26469","1895","1587","373","1531","339","1633","243","1464","341","647","205","1934","384","1574","380","1613","328","4127","539","3495","439","3282","339","2325","308","928","218","329","112",
"0400000US13","Georgia","37920","2768","19765","1671","1488","431","1188","307","1652","351","979","279","978","286","2227","559","1790","391","1369","319","2711","465","2494","455","1707","274","774","184","348","123","60","72","18155","1462","1633","371","1395","344","1421","334","1233","258","665","166","1895","424","1083","238","1370","307","2349","416","2039","351","1555","285","1003","240","247","112","267","89",
