"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","2540309","12828","1263498","7284","98275","1592","103041","1970","104846","1949","65882","1325","47411","1217","109580","1861","94519","1825","87332","1802","168096","2276","172304","2271","123858","1654","60551","1078","22579","710","5224","394","1276811","6920","96003","1703","98269","1650","99106","1629","62091","1479","43736","1214","104228","1491","91501","1455","86503","1661","171322","1897","179483","2014","134947","1688","67923","1111","31035","911","10664","502",
"0400000US01","Alabama","25278","1181","12615","743","784","180","723","153","1206","194","696","142","553","153","851","197","719","152","831","184","1417","276","2044","229","1842","209","694","130","196","75","59","45","12663","698","411","99","874","173","932","168","365","101","409","157","811","196","925","233","995","199","1864","249","2193","266","1633","196","761","121","365","125","125","64",
"0400000US02","Alaska","101273","1475","51193","801","4771","280","4685","285","4462","299","2958","176","1821","170","4721","240","3867","249","3359","250","5638","230","6706","225","4766","180","2297","132","960","84","182","40","50080","938","4491","212","4229","346","4162","285","2588","177","1834","170","4435","253","3845","209","3191","199","5456","251","6774","210","4836","194","2538","122","1278","102","423","109",
"0400000US04","Arizona","286953","2469","139906","1618","12611","404","12858","698","12695","694","7851","331","5783","369","14131","586","11331","463","9203","381","17891","544","16277","491","10502","301","5525","259","2521","182","727","160","147047","1494","13174","553","13059","574","12313","551","7865","289","5869","576","13345","392","10998","342","9841","295","18018","409","18359","401","12561","346","6957","217","3479","227","1209","157",
"0400000US05","Arkansas","17945","1095","8649","670","323","115","762","208","801","192","452","122","286","107","610","177","590","187","501","130","1167","220","1396","224","1077","168","364","112","223","79","97","51","9296","635","488","139","615","176","645","171","431","127","365","117","683","157","583","144","879","170","1119","180","1542","212","1168","165","443","128","294","85","41","37",
"0400000US06","California","286397","5366","143544","2844","9026","624","10113","840","10016","800","7056","488","5135","413","12719","596","11002","682","10132","706","19964","911","21494","906","16198","650","7092","400","2896","290","701","126","142853","3120","9056","704","9429","658","10336","787","6539","587","4174","369","11365","678","10595","680","9786","584","19254","801","21996","822","17003","721","7930","496","3990","394","1400","230",
"0400000US08","Colorado","49177","1968","25386","1127","1524","271","1964","296","1946","346","1196","228","933","218","2243","303","2147","345","1985","313","3960","343","3339","336","2579","277","1083","163","407","124","80","47","23791","1261","1621","278","1545","325","1724","298","780","181","975","205","2111","299","1628","208","1925","343","3654","298","3539","328","2531","313","1092","188","521","144","145","59",
"0400000US09","Connecticut","8770","984","4573","632","238","143","411","156","366","153","159","101","130","80","510","218","398","173","317","165","728","200","589","135","447","105","210","66","69","38","1","2","4197","495","328","120","254","119","218","101","297","115","122","70","386","132","365","134","329","111","585","158","521","133","495","115","132","54","92","60","73","40",
"0400000US10","Delaware","3010","423","1491","227","40","29","54","49","81","53","78","51","26","29","252","122","47","40","61","45","171","83","272","78","209","68","167","46","33","18","0","27","1519","296","73","65","47","42","152","97","41","30","13","16","143","80","172","126","95","53","163","68","263","85","197","86","99","71","46","32","15","14",
