"GEO_ID","NAME","B01001C_001E","B01001C_001M","B01001C_002E","B01001C_002M","B01001C_003E","B01001C_003M","B01001C_004E","B01001C_004M","B01001C_005E","B01001C_005M","B01001C_006E","B01001C_006M","B01001C_007E","B01001C_007M","B01001C_008E","B01001C_008M","B01001C_009E","B01001C_009M","B01001C_010E","B01001C_010M","B01001C_011E","B01001C_011M","B01001C_012E","B01001C_012M","B01001C_013E","B01001C_013M","B01001C_014E","B01001C_014M","B01001C_015E","B01001C_015M","B01001C_016E","B01001C_016M","B01001C_017E","B01001C_017M","B01001C_018E","B01001C_018M","B01001C_019E","B01001C_019M","B01001C_020E","B01001C_020M","B01001C_021E","B01001C_021M","B01001C_022E","B01001C_022M","B01001C_023E","B01001C_023M","B01001C_024E","B01001C_024M","B01001C_025E","B01001C_025M","B01001C_026E","B01001C_026M","B01001C_027E","B01001C_027M","B01001C_028E","B01001C_028M","B01001C_029E","B01001C_029M","B01001C_030E","B01001C_030M","B01001C_031E","B01001C_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","2502653","13628","1243909","8964","99762","1677","100962","1870","105041","2096","68807","1468","48833","1241","105395","1911","93703","1778","84630","1708","174429","2342","168191","2189","114445","1670","53802","967","21036","670","4873","395","1258744","7144","97136","1491","98441","1995","98666","1792","64849","1322","44634","1178","101294","1763","89213","1754","84034","1809","175899","2121","180865","2159","123547","1605","61047","1257","29454","924","9665","549",
"0400000US01","Alabama","26399","1439","13338","829","848","282","767","152","1304","223","725","178","533","147","998","280","866","193","977","220","1645","280","2080","240","1742","200","647","150","168","78","38","33","13061","817","548","190","996","204","1025","167","484","114","411","151","758","209","807","190","1012","223","1985","229","2517","259","1550","189","523","113","348","94","97","35",
"0400000US02","Alaska","97628","1803","49135","990","4422","216","4359","303","4428","308","2859","230","1993","199","4564","290","3416","241","3006","196","5891","297","6496","225","4671","167","1967","121","896","79","167","40","48493","1056","4384","242","4032","280","4009","244","2787","197","1945","162","4280","266","3325","206","2912","185","6124","252","6464","282","4379","191","2376","126","1143","104","333","112",
"0400000US04","Arizona","280986","2504","137414","1483","12830","347","11611","697","13421","618","8778","362","5896","307","13595","559","10888","544","9093","407","17993","580","15430","403","9802","281","5034","232","2444","203","599","133","143572","1345","12744","423","12943","619","12033","539","8440","280","5601","284","12778","344","10512","306","9590","253","18578","397","17829","361","11593","308","6475","214","3322","202","1134","157",
"0400000US05","Arkansas","17239","1027","8384","676","416","112","912","206","717","175","445","135","239","123","632","197","577","174","482","179","1252","273","1186","227","880","159","361","102","257","91","28","22","8855","582","500","132","575","133","637","183","395","96","402","126","765","163","608","152","629","141","1067","241","1382","181","1067","190","453","133","328","99","47","37",
"0400000US06","California","287712","5269","143995","3274","10020","684","9557","656","10752","805","7091","615","5567","525","11773","752","10743","701","9725","670","22106","959","21695","900","14971","606","6615","405","2813","302","567","143","143717","3263","9103","554","9253","682","10623","761","7263","652","3912","527","11373","764","10347","686","9755","623","20776","925","23088","1003","15819","745","7442","551","3855","408","1108","182",
"0400000US08","Colorado","48201","1967","24790","1168","1549","282","2015","289","1769","310","1378","213","1101","240","2192","319","2240","374","2207","312","3672","400","3109","299","2320","257","807","166","348","96","83","48","23411","1132","1243","255","1652","257","1760","281","1018","181","985","238","1759","289","1966","253","1956","263","3734","345","3576","351","2323","278","865","177","511","130","63","36",
"0400000US09","Connecticut","8104","926","3977","502","173","99","327","122","258","117","155","95","128","69","410","177","455","154","410","180","685","157","349","127","291","102","227","82","75","51","34","26","4127","611","395","130","290","155","333","118","149","88","128","89","322","133","323","123","263","89","664","152","512","180","403","80","148","76","78","43","119","61",
"0400000US10","Delaware","3109","453","1769","309","71","48","95","66","122","79","42","48","28","33","243","108","28","40","72","64","253","121","375","67","167","71","235","124","38","39","0","89","1340","230","40","28","60","42","76","62","40","30","95","63","54","40","89","56","163","102","207","75","227","99","136","49","84","47","47","25","22","39",
"0400000US11","District of Columbia","1779","326","743","232","77","63","45","40","1","2","39","52","25","53","31","49","66","61","82","57","52","66","166","115","133","67","26","28","0","95","0","95","1036","212","72","70","69","77","0","95","0","95","29","37","97","101","127","74","120","63","210","58","79","30","78","44","92","70","44","49","19","22",
"0400000US12","Florida","58192","2534","29987","1549","2099","391","1643","400","1559","330","1751","385","1208","281","1896","370","2416","463","2074","499","4846","656","5095","530","3038","341","1660","270","616","167","86","57","28205","1418","1657","376","1920","381","1788","317","1276","297","783","214","1570","350","1982","401","1961","384","4655","542","4691","445","3448","350","1331","185","705","172","438","186",
"0400000US13","Georgia","23979","1689","12566","1069","732","214","865","196","764","248","442","124","361","171","1339","373","802","319","912","254","1931","340","2106","306","1429","260","565","170","298","109","20","31","11413","1004","769","212","920","413","484","147","473","154","378","141","996","275","560","204","832","215","2073","343","1839","225","1256","263","633","164","171","77","29","28",
"0400000US15","Hawaii","3198","356","1669","279","0","89","61","50","81","46","66","54","52","52","265","117","127","72","174","85","247","101","286","128","210","75","77","46","23","30","0","89","1529","321","11","14","64","49","117","60","88","50","104","73","92","68","65","51","79","66","244","100","252","113","235","129","122","75","48","62","8","13",
"0400000US16","Idaho","19584","1034","9506","547","695","158","843","223","757","135","627","153","423","128","821","167","586","149","731","158","1462","236","818","162","995","165","501","117","219","101","28","28","10078","685","716","145","816","177","1191","251","479","138","345","93","716","163","788","208","619","175","1507","172","1150","182","1016","176","494","128","173","65","68","58",
"0400000US17","Illinois","25216","1383","12641","861","674","163","827","183","865","216","502","141","670","198","941","197","992","229","926","197","1923","258","2208","302","1361","234","513","124","165","64","74","62","12575","824","651","159","906","185","571","155","613","152","442","101","957","228","870","208","670","168","2072","298","2214","295","1524","194","682","146","267","79","136","84",
"0400000US18","Indiana","14772","825","7877","551","443","129","506","131","328","114","321","102","315","125","458","143","721","170","614","149","1233","204","1550","227","852","151","364","93","158","76","14","18","6895","498","420","123","299","98","269","92","292","110","205","76","583","169","388","108","530","171","938","187","1452","210","968","148","386","103","119","47","46","35",
"0400000US19","Iowa","9958","677","5147","437","457","150","370","124","600","143","180","72","267","99","388","128","390","117","548","144","662","144","624","140","441","96","141","62","69","49","10","16","4811","400","454","108","497","111","440","117","209","74","117","50","386","128","459","119","365","103","642","169","581","127","399","106","135","53","101","50","26","23",
"0400000US20","Kansas","23860","1164","12052","702","769","169","1049","182","1210","225","692","118","519","123","1057","214","857","189","1045","204","1633","184","1510","202","1091","160","443","94","120","43","57","32","11808","685","914","199","883","157","945","185","579","132","485","166","1137","185","785","156","876","168","1700","205","1606","195","1115","154","465","102","268","88","50","29",
"0400000US21","Kentucky","8913","731","4817","512","154","79","187","99","326","121","230","103","207","104","390","127","490","162","298","120","870","222","758","171","473","126","263","74","128","84","43","29","4096","417","169","69","238","90","269","113","139","72","176","97","88","62","359","108","319","128","670","176","799","172","539","154","219","104","69","34","43","46",
"0400000US22","Louisiana","28154","1197","14439","798","1054","250","1157","198","1239","228","621","112","720","200","1239","242","903","233","975","212","2185","307","1968","287","1402","160","666","149","233","67","77","50","13715","722","1022","163","900","171","1214","252","695","139","433","129","964","179","1059","214","807","151","1964","269","2064","310","1456","216","756","139","289","98","92","67",
"0400000US23","Maine","7124","458","3615","301","215","60","255","67","230","104","177","71","119","48","440","118","167","44","193","80","482","142","773","146","287","73","188","84","86","41","3","5","3509","285","195","69","96","41","280","124","228","99","90","42","333","114","173","70","247","89","487","98","655","101","417","96","207","60","80","33","21","22",
"0400000US24","Maryland","16603","1151","8171","756","538","187","365","125","457","150","316","118","313","131","826","217","644","215","377","119","1541","320","1171","209","988","171","479","111","118","61","38","35","8432","665","687","219","495","172","438","127","488","131","116","62","612","205","551","169","535","163","1381","256","1496","263","946","154","374","100","226","72","87","52",
"0400000US25","Massachusetts","12238","1095","6005","619","281","105","421","163","542","174","198","86","197","83","613","184","334","124","456","141","776","166","1056","212","568","146","350","111","151","65","62","54","6233","650","294","106","364","136","469","127","324","132","319","144","534","171","330","121","556","174","871","213","990","208","548","146","318","101","210","82","106","53",
"0400000US26","Michigan","54638","1543","27240","1149","1773","237","2415","245","2328","255","1392","191","901","176","2012","270","1856","240","1876","244","4201","455","3914","321","2759","193","1238","147","496","100","79","39","27398","918","1774","214","1965","281","2483","326","1378","211","797","130","2012","282","1858","229","1915","252","3905","249","4467","315","2748","207","1256","142","620","108","220","70",
"0400000US27","Minnesota","57271","1308","27979","780","2912","217","2412","266","2500","264","1606","157","1247","199","2478","273","2391","204","1721","196","3482","328","3682","256","2198","145","927","160","277","81","146","65","29292","826","2831","249","2449","292","2444","271","1434","169","1000","140","2570","227","2182","201","1890","195","4125","292","4004","236","2763","171","1076","110","465","97","59","31",
"0400000US28","Mississippi","13775","861","6705","599","563","123","645","184","436","107","490","193","313","127","659","258","505","137","407","129","993","205","742","191","660","149","284","124","8","13","0","95","7070","529","545","145","623","164","645","252","265","93","368","138","496","157","513","151","492","141","1100","227","800","153","827","206","252","90","114","65","30","27",
"0400000US29","Missouri","22509","877","10914","634","564","144","554","146","831","184","474","133","304","122","867","236","736","197","691","174","1747","269","1991","250","1094","152","747","159","271","115","43","35","11595","572","750","169","531","145","683","177","360","96","418","115","837","190","704","152","942","173","1768","250","1953","224","1633","205","569","122","353","90","94","48",
"0400000US30","Montana","61399","1144","30060","705","3063","174","2893","258","3184","306","1559","134","1237","176","2632","183","2515","226","1999","195","3286","218","3655","233","2608","156","956","104","441","71","32","20","31339","636","3152","220","2817","280","2767","246","1826","174","1267","185","2677","247","2140","151","1909","183","3897","236","4225","234","2600","140","1356","139","564","107","142","59",
