"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","196572772","9758","96581230","6882","5363016","1639","5624222","12817","5988990","12924","3875233","1295","2654611","2907","6316976","3345","6065519","2154","5712735","1627","13355698","2457","15484158","2502","12661669","992","7545481","872","4514464","5946","1418458","6039","99991542","5720","5094000","1651","5354844","13125","5641291","13042","3651719","1268","2545086","4239","6100580","4014","6005450","1883","5609770","1338","13267515","2166","15718147","1558","13249106","971","8507603","1010","6256909","9170","2989522","9104",
"0400000US01","Alabama","3188814","806","1559816","640","90933","215","97021","1535","99084","1523","64048","255","42911","336","101676","468","95226","375","92171","289","216155","415","239658","268","203125","116","130723","102","69675","754","17410","751","1628998","608","86832","209","91444","1408","94196","1415","59824","224","42213","413","99674","347","96256","269","92428","179","215473","214","243487","163","215904","109","150562","352","99355","960","41350","941",
"0400000US02","Alaska","444238","808","233556","557","13758","107","13271","572","14606","552","9577","164","6343","154","17921","262","16878","167","15109","125","33224","267","42136","203","32194","167","12522","120","4984","170","1033","163","210682","414","12909","85","12509","519","13768","500","9131","151","5166","164","14099","154","15201","174","13700","142","30588","146","38092","208","26962","127","10979","115","5510","230","2068","216",
"0400000US04","Arizona","3667031","1205","1811723","711","95106","177","95735","1606","99414","1578","63591","160","44737","190","110824","264","117938","202","105947","168","241296","229","270520","271","248381","218","181134","198","106173","1025","30927","1037","1855308","768","90780","227","90336","1478","94740","1496","59591","171","41699","284","104031","282","114037","185","100277","245","231378","263","279692","232","271749","236","196497","248","129130","1164","51371","1173",
"0400000US05","Arkansas","2158805","657","1059653","428","64437","183","65758","1317","67550","1307","42913","175","28994","293","68643","375","68221","353","63327","209","141150","202","156071","123","135808","132","92994","65","49932","589","13855","584","1099152","471","60498","170","63017","1315","63096","1324","40165","162","27684","307","68193","381","67703","212","61982","154","140348","185","159139","99","144627","122","104165","51","68689","823","29846","829",
"0400000US06","California","15107042","3490","7511285","2080","347744","513","353705","3522","400828","3511","273218","386","188493","356","482375","561","486427","480","444456","436","1062673","613","1286912","591","1061460","440","603127","260","381231","2149","138636","2141","7595757","1999","330404","484","339798","2891","373080","2997","256542","433","173461","424","442666","545","461211","549","412950","434","1012395","719","1258036","565","1088810","369","670396","325","510655","2822","265353","2753",
"0400000US08","Colorado","3451276","1443","1720258","1240","98627","258","101398","1665","101544","1692","65233","298","46984","550","118354","531","119641","366","116460","418","252164","669","283824","432","224160","224","112489","200","60008","698","19372","663","1731018","1027","92775","288","95635","1405","95693","1389","61463","217","42180","490","109184","453","115965","537","110039","226","245321","355","288811","237","229472","206","123581","169","82298","1140","38601","1165",
"0400000US09","Connecticut","2567005","1173","1245776","739","60935","163","73069","1285","80855","1290","52561","108","32507","109","72382","197","62869","195","63081","139","177335","326","219666","142","169591","109","94280","76","63066","652","23579","651","1321229","610","58169","183","68811","1152","76825","1186","49682","102","30681","96","69087","238","61426","155","63880","161","184162","256","226556","182","179482","125","109339","56","90088","990","53041","981",
"0400000US10","Delaware","585658","335","283766","242","14758","28","15354","467","16522","497","11172","50","8022","30","18618","44","16960","41","14975","68","38298","77","45598","39","38630","32","25829","119","14608","384","4422","383","301892","208","13966","73","14970","573","15232","590","10573","16","8431","6","18519","38","17563","54","15521","23","39167","57","47707","57","42540","23","29391","18","19214","495","9098","495",
"0400000US11","District of Columbia","194910","280","96846","179","3853","37","2356","229","1471","225","972","132","5205","525","10309","521","14148","118","11634","79","16339","40","11054","55","10004","17","5525","18","2922","193","1054","197","98064","191","3638","58","2174","179","1413","174","902","132","6185","504","13395","507","16350","28","11478","37","12788","60","9006","61","10259","58","5214","21","3235","226","2027","226",
"0400000US12","Florida","10932256","3187","5356919","1814","245179","482","255630","2944","287082","2812","184867","394","126584","460","307802","1050","294612","630","272944","807","692512","622","829206","674","757006","264","585448","265","389771","2251","128276","2237","5575337","1980","233410","535","248744","2667","264739","2629","173921","288","119515","433","295051","706","288706","488","262657","413","677415","554","845335","588","823925","337","647544","240","480318","2721","214057","2746",
