"GEO_ID","NAME","B01001H_001E","B01001H_001M","B01001H_002E","B01001H_002M","B01001H_003E","B01001H_003M","B01001H_004E","B01001H_004M","B01001H_005E","B01001H_005M","B01001H_006E","B01001H_006M","B01001H_007E","B01001H_007M","B01001H_008E","B01001H_008M","B01001H_009E","B01001H_009M","B01001H_010E","B01001H_010M","B01001H_011E","B01001H_011M","B01001H_012E","B01001H_012M","B01001H_013E","B01001H_013M","B01001H_014E","B01001H_014M","B01001H_015E","B01001H_015M","B01001H_016E","B01001H_016M","B01001H_017E","B01001H_017M","B01001H_018E","B01001H_018M","B01001H_019E","B01001H_019M","B01001H_020E","B01001H_020M","B01001H_021E","B01001H_021M","B01001H_022E","B01001H_022M","B01001H_023E","B01001H_023M","B01001H_024E","B01001H_024M","B01001H_025E","B01001H_025M","B01001H_026E","B01001H_026M","B01001H_027E","B01001H_027M","B01001H_028E","B01001H_028M","B01001H_029E","B01001H_029M","B01001H_030E","B01001H_030M","B01001H_031E","B01001H_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","197258278","8320","97140559","5363","5095345","1553","5412319","12230","5663136","12340","3549228","1217","2463515","1905","6429433","2455","6277382","1918","6111181","1526","12039058","2019","14537356","1620","14009930","1130","9203000","731","4674664","6207","1675012","6320","100117719","4770","4842470","1666","5135208","12176","5371575","12335","3357585","1234","2332657","2252","6149124","2294","6112463","1255","6004712","1169","11904101","1411","14710582","1328","14678183","1012","10186249","872","6081381","9730","3251429","9677",
"0400000US01","Alabama","3204989","779","1566821","506","85455","220","91735","1380","97078","1442","60285","149","39336","220","106113","218","96034","116","94546","168","198058","226","229797","163","218079","80","153277","93","75586","940","21442","951","1638168","546","81548","262","85897","1534","94081","1538","57389","121","37324","241","104218","252","97277","137","95367","150","199974","157","232924","188","231200","93","174598","96","102840","1257","43531","1245",
"0400000US02","Alaska","457470","298","243554","235","14106","67","13240","587","13642","577","8273","101","5634","102","20099","140","20110","107","18289","127","31341","110","36992","115","36694","98","17747","93","5944","223","1443","224","213916","255","13188","89","12371","511","12679","515","7739","76","4421","94","14359","115","16769","139","15671","94","27913","116","32805","72","32079","73","15138","84","5977","316","2807","315",
"0400000US04","Arizona","3752853","834","1854760","468","87068","164","92903","1622","97582","1621","59940","87","41126","123","112658","218","114133","156","112446","76","222385","292","258982","134","269092","94","225176","118","123420","1185","37849","1187","1898093","588","83273","155","90108","1547","91176","1541","56395","122","38306","488","106029","439","106922","130","107447","141","213681","171","262579","152","295875","132","247090","133","136191","1528","63021","1527",
"0400000US05","Arkansas","2177308","652","1069603","410","61582","226","66381","1355","65304","1320","40904","140","27046","186","71841","203","66544","117","66896","158","132676","123","150588","117","143183","46","106481","34","54110","579","16067","576","1107705","431","58311","148","62418","1355","61956","1367","38597","133","25477","261","70736","267","66406","97","66011","91","132126","86","152240","61","153233","63","119295","45","69872","810","31027","813",
"0400000US06","California","14879258","2834","7423000","1498","327127","477","338462","3014","352388","3012","231147","257","163596","310","479132","440","511535","366","489568","340","926544","514","1164510","593","1149990","333","748296","301","383106","2149","157599","2107","7456258","1694","310622","522","318867","2964","335284","3024","217805","242","148779","300","436908","557","471443","441","453143","359","872040","466","1133892","532","1173178","391","817612","295","483710","2883","282975","2898",
"0400000US08","Colorado","3646224","1198","1822736","865","96557","154","100365","1789","105349","1741","61661","175","45471","305","123900","332","135556","247","131761","282","248478","467","267072","263","260885","149","153896","117","68452","720","23333","725","1823488","813","90598","215","97070","1413","96922","1478","58324","191","41241","348","113424","381","125670","209","125412","179","236216","219","271236","178","270842","177","165733","124","86484","1058","44316","1046",
"0400000US09","Connecticut","2487119","1188","1210226","645","52624","122","62889","1232","72162","1242","47612","65","34679","59","74006","123","67772","158","63766","177","141257","193","203579","224","189070","93","114996","43","59313","659","26501","656","1276893","683","49902","173","59492","1286","68394","1289","45008","73","33605","135","69003","129","64836","189","64255","143","146157","132","211701","214","198729","146","129592","94","81739","955","54480","949",
"0400000US10","Delaware","591922","410","286808","278","14050","34","14669","623","15256","618","9741","36","7362","18","18550","30","18397","173","16494","76","32431","71","43287","54","43085","36","32188","87","15985","373","5313","367","305114","192","13462","32","14063","636","14343","633","9316","20","7530","46","18395","41","18341","70","16901","26","33667","94","45516","31","47493","91","36287","101","20185","467","9615","465",
