"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0100000US","United States","60806969","1812","30790083","4358","2548182","2210","2622356","11754","2852929","11720","1600085","2451","1048919","2821","2480848","3158","2479952","2542","2413082","2639","4556063","3719","3660120","3181","2528626","2130","1305697","2101","516274","3024","176950","3115","30016886","4330","2445491","2421","2513166","12174","2730838","12132","1527768","2306","1001373","2632","2364030","2689","2330362","2305","2191997","2587","4225363","3399","3541655","3044","2599086","1838","1519132","1977","716014","4423","310611","4391",
"0400000US01","Alabama","224659","413","119004","731","13430","524","12642","694","13917","690","6504","343","4193","446","8683","500","8030","360","9535","555","18322","649","11750","639","7279","457","3740","377","671","205","308","133","105655","617","12228","396","11725","762","13188","719","5666","269","3836","428","8231","485","6798","400","7784","373","14891","624","9949","490","6525","388","2729","258","1680","198","425","114",
"0400000US02","Alaska","53604","171","28033","274","3008","114","2327","331","2733","346","1233","102","941","163","3159","178","3021","185","2560","156","3514","202","2686","193","1616","156","907","112","303","61","25","27","25571","276","2906","125","2780","290","2224","300","1220","93","658","51","2274","100","2420","131","2103","87","3316","151","2551","209","1760","162","956","104","375","109","28","31",
"0400000US04","Arizona","2257429","*****","1138528","106","97446","61","98339","2252","110257","2252","62597","85","42381","227","101731","241","97598","81","87069","211","157055","265","123725","135","87508","*****","48399","130","19407","510","5016","506","1118901","106","93536","61","94301","2011","105174","2011","60482","86","41045","281","96125","278","90464","39","79657","151","150411","175","125757","136","92780","74","55443","101","24211","761","9515","742",
"0400000US05","Arkansas","236001","291","123310","665","12059","339","13605","754","13256","656","7051","295","4785","336","10160","375","9655","383","9356","408","18184","516","13072","503","7912","331","2987","229","875","180","353","133","112691","599","11068","292","12398","680","12241","659","7167","280","4326","284","9421","383","8501","385","8013","401","16149","467","11692","399","7134","251","3015","266","1169","174","397","142",
"0400000US06","California","15593787","*****","7870916","419","599873","269","646794","5991","716367","5975","406854","200","264039","243","650404","370","671653","396","624412","318","1130827","373","962428","352","678355","158","340422","321","129686","1591","48802","1621","7722871","422","577207","214","615979","5781","691082","5789","391896","172","255752","265","631788","334","637395","254","573217","186","1065404","316","931610","320","692942","143","394301","232","181444","1957","82854","1947",
"0400000US08","Colorado","1254636","179","641313","570","53395","334","54620","1688","62097","1760","35186","259","23376","362","52791","410","54255","488","52322","500","95734","522","70070","544","48211","239","26021","287","10475","439","2760","375","613323","558","50316","272","55081","1315","56194","1357","33282","262","21699","426","49649","432","49828","394","46505","340","86958","471","67163","392","49809","239","28963","295","13173","562","4703","528",
"0400000US09","Connecticut","610065","*****","303991","67","25473","69","26206","1086","27720","1086","16114","*****","10926","193","25396","195","24731","*****","23891","*****","45925","*****","36072","*****","24047","*****","11503","149","4466","359","1521","300","306074","68","24327","68","25735","881","26838","880","15349","*****","10449","195","23993","196","23049","*****","23076","*****","46252","*****","37704","*****","26285","*****","14086","184","6586","457","2345","432",
"0400000US10","Delaware","95278","*****","48635","*****","4897","*****","4577","448","5210","447","2758","*****","1713","*****","3653","*****","3467","*****","3738","*****","7590","*****","5347","*****","3246","*****","1594","105","730","136","115","67","46643","*****","4950","*****","4783","456","4853","457","2600","*****","1679","*****","3442","*****","3440","*****","3424","*****","6567","*****","5146","*****","3079","*****","1716","*****","673","129","291","127",
