"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","51786591","1522","26289599","3971","2609009","1974","2482818","8926","2374512","9131","1387467","1718","961776","2437","2362704","2771","2290712","2361","2201763","2631","3842398","2572","2855758","2598","1652068","1655","790419","1416","371537","2038","106658","2002","25496992","3811","2509128","1738","2407198","8770","2253819","9073","1311492","1468","886868","2010","2092317","2653","2029181","1844","2012331","1911","3658441","2180","2828570","2132","1797831","1398","976465","1328","533245","3210","200106","3174",
"0400000US01","Alabama","188294","530","103680","738","13073","336","11062","675","7573","635","3978","363","2977","403","11515","500","12478","383","10874","367","15024","443","8511","419","4069","272","1610","215","747","171","189","97","84614","561","12160","319","10430","595","7508","529","3722","289","2800","322","7571","458","8425","376","7362","376","11517","475","6683","438","3103","228","1830","246","1113","207","390","121",
"0400000US02","Alaska","42832","125","22481","197","2604","83","2169","238","2168","213","1178","84","950","133","2720","168","2221","125","1645","151","2738","169","2059","125","1382","154","433","100","174","72","40","43","20351","173","2361","76","2061","190","1963","208","1107","67","747","105","1944","123","1972","110","1543","89","2600","166","2049","145","1295","106","439","51","213","61","57","26",
"0400000US04","Arizona","1935948","*****","974474","42","100977","*****","99377","1807","99823","1809","56718","41","38163","138","88125","142","78842","87","75961","97","132076","153","99363","99","59320","59","29030","75","13008","362","3691","342","961474","42","96892","*****","98504","1900","93529","1900","54013","46","35938","197","81159","194","73129","125","72390","*****","132288","94","100989","95","64315","98","34743","111","17688","506","5897","503",
"0400000US05","Arkansas","192264","99","102250","608","12234","339","12298","618","9672","578","5413","270","4021","317","9485","385","10168","432","9334","347","14582","395","8565","310","4338","265","1351","266","622","165","167","86","90014","594","12141","368","11349","552","9268","481","4833","289","2959","287","7391","355","7822","374","7584","362","12689","475","7411","363","3968","223","1631","238","836","167","132","84",
"0400000US06","California","14270345","*****","7211819","323","686686","172","660708","4446","667053","4422","409748","200","276611","258","661499","401","619134","310","579591","270","1049900","313","803383","260","456800","170","208804","199","100070","1177","31832","1209","7058526","323","659631","164","643320","4550","633364","4576","390191","185","259090","186","601291","229","559551","209","542269","238","1014593","262","797576","240","498051","172","260845","169","143195","1305","55559","1283",
"0400000US08","Colorado","1064009","*****","543200","637","56906","252","55307","1320","52249","1308","28351","212","19412","378","46369","509","45784","393","45127","472","77656","415","55699","355","34231","238","16823","204","7409","333","1877","298","520809","636","53721","278","54025","1284","49236","1251","26795","229","18318","356","42216","388","41201","246","41028","293","71970","307","54458","258","35602","203","18704","222","9858","311","3677","348",
"0400000US09","Connecticut","496939","*****","248723","106","24177","*****","22634","840","23184","840","13570","107","9781","214","23468","227","21596","133","21402","207","36506","206","27483","*****","14925","62","6592","112","2613","189","792","182","248216","106","23051","*****","23081","712","20894","712","12919","105","8956","151","20725","152","20115","*****","20860","*****","37221","121","29503","120","16825","54","8691","88","4211","191","1164","187",
"0400000US10","Delaware","76107","*****","39346","*****","4508","*****","3865","301","3830","302","1914","*****","1316","180","3862","180","4002","*****","3675","*****","5747","*****","3533","*****","1837","*****","787","55","393","77","77","48","36761","*****","4362","*****","4238","364","3310","364","1796","*****","1372","*****","3245","*****","3308","*****","3283","*****","5294","*****","3264","*****","1787","*****","881","79","392","89","229","99",
"0400000US11","District of Columbia","59479","*****","30565","*****","2828","*****","1850","198","1398","198","845","*****","964","*****","3094","*****","3959","*****","3839","*****","5394","*****","3398","*****","1819","*****","783","*****","362","42","32","43","28914","*****","2758","*****","1990","221","1238","221","814","*****","1029","*****","2834","*****","3635","*****","3281","*****","4423","*****","2969","*****","2083","*****","1128","*****","513","92","219","92",
"0400000US12","Florida","4369920","142","2161477","478","162724","304","155825","2672","160387","2694","97789","234","68609","535","177716","607","173084","410","168026","401","337883","520","291168","417","177140","292","110766","347","62240","963","18120","935","2208443","512","155719","279","150711","2594","151062","2580","91967","274","63162","371","159096","419","157047","319","160915","340","335833","442","304909","288","208967","326","143008","377","88842","1201","37205","1158",
"0400000US13","Georgia","875849","634","469726","1266","54333","578","50382","1478","40138","1512","20994","483","16457","649","44152","786","48610","810","48903","601","76303","786","41805","660","18086","516","6616","358","2110","291","837","188","406123","1135","52221","598","47965","1293","37514","1334","20239","484","13177","634","31720","816","37036","564","37809","468","63103","626","34941","539","17496","409","8032","376","3495","373","1375","237",
"0400000US15","Hawaii","128171","*****","65517","*****","8741","*****","6845","343","5774","343","3300","*****","2300","65","6700","63","6174","*****","5167","*****","7746","*****","6012","*****","3930","*****","1838","38","732","87","258","84","62654","*****","8213","*****","6328","392","5565","391","3180","*****","2140","65","5672","64","5434","*****","4781","*****","7575","*****","6102","*****","4071","*****","2157","*****","1014","116","422","115",
"0400000US16","Idaho","180901","97","94542","403","11340","164","11026","589","9662","582","5839","204","3365","291","8454","364","8478","321","7563","259","12508","346","8409","296","5151","273","2073","208","495","95","179","72","86359","391","10980","176","10499","589","9506","566","5040","217","3521","278","7257","305","6908","225","6491","221","11021","305","7869","281","4196","156","1836","141","953","164","282","87",
"0400000US17","Illinois","2060706","349","1063623","510","105335","201","104886","1481","101812","1524","57085","236","37814","306","91178","349","93421","334","94249","281","164558","362","110646","354","62506","220","26002","202","11378","353","2753","309","997083","483","102107","196","103743","1819","94547","1855","54012","200","34527","346","80126","370","81789","265","84240","211","149614","270","101575","280","61150","228","30218","276","14784","459","4651","439",
