"GEO_ID","NAME","B01001I_001E","B01001I_001M","B01001I_002E","B01001I_002M","B01001I_003E","B01001I_003M","B01001I_004E","B01001I_004M","B01001I_005E","B01001I_005M","B01001I_006E","B01001I_006M","B01001I_007E","B01001I_007M","B01001I_008E","B01001I_008M","B01001I_009E","B01001I_009M","B01001I_010E","B01001I_010M","B01001I_011E","B01001I_011M","B01001I_012E","B01001I_012M","B01001I_013E","B01001I_013M","B01001I_014E","B01001I_014M","B01001I_015E","B01001I_015M","B01001I_016E","B01001I_016M","B01001I_017E","B01001I_017M","B01001I_018E","B01001I_018M","B01001I_019E","B01001I_019M","B01001I_020E","B01001I_020M","B01001I_021E","B01001I_021M","B01001I_022E","B01001I_022M","B01001I_023E","B01001I_023M","B01001I_024E","B01001I_024M","B01001I_025E","B01001I_025M","B01001I_026E","B01001I_026M","B01001I_027E","B01001I_027M","B01001I_028E","B01001I_028M","B01001I_029E","B01001I_029M","B01001I_030E","B01001I_030M","B01001I_031E","B01001I_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","50545275","1531","25669463","3374","2604001","1770","2429242","8751","2312701","8678","1374625","1628","947504","2018","2315044","2934","2273273","2343","2155718","2446","3759320","3050","2744161","2770","1556507","1488","744531","1389","354939","2054","97897","1951","24875812","3261","2502898","1690","2342011","8723","2206363","8765","1295185","1629","869059","2137","2029735","2554","2015750","2106","1979378","1855","3581399","2683","2727033","2163","1701788","1291","926826","1530","512931","2832","185456","2574",
"0400000US01","Alabama","182268","567","100044","770","12837","434","9985","549","7569","522","3421","278","2606","334","12184","437","12611","417","10510","361","14638","528","7886","422","3598","316","1371","223","689","202","139","76","82224","640","12271","400","10054","463","7256","386","3545","321","2757","350","7424","414","8522","341","7399","291","10849","438","6297","378","3031","269","1566","183","936","178","317","116",
"0400000US02","Alaska","40371","27","21191","172","2575","85","2103","220","2087","193","1046","85","774","111","2561","187","2006","136","1428","143","2660","172","2056","132","1327","127","420","104","116","50","32","42","19180","173","2203","76","1792","198","2027","196","1055","90","659","85","1849","98","1865","114","1503","77","2421","103","1992","113","1194","88","381","31","186","41","53","28",
"0400000US04","Arizona","1902946","*****","958377","129","104346","89","97729","1854","99064","1854","56271","74","37633","164","84807","218","78981","163","75131","*****","129397","68","95851","70","56197","53","27206","71","12322","341","3442","333","944569","130","99906","90","96999","1545","92618","1544","53491","76","34973","125","78091","130","73529","68","71791","54","129684","80","97471","51","60734","78","32783","87","16772","432","5727","430",
"0400000US05","Arkansas","185239","173","98450","603","12168","325","11161","547","9605","565","5133","261","3929","252","9691","346","9936","378","9198","334","14047","439","7869","348","3833","294","1225","206","525","171","130","74","86789","606","12527","338","10782","571","8381","551","4719","216","2863","321","7632","400","7598","298","7460","415","11978","426","6960","330","3593","206","1574","198","629","142","93","61",
"0400000US06","California","14024109","*****","7091264","377","690295","177","654212","3697","663203","3724","412227","232","274789","271","645656","367","612923","384","570465","362","1041064","330","774763","254","429417","241","196744","208","96956","974","28550","1003","6932845","378","662905","191","634041","3699","633010","3709","391053","226","255874","217","581584","261","554976","218","536085","215","1002829","241","773003","200","470282","160","247718","145","137842","1216","51643","1233",
"0400000US08","Colorado","1040478","*****","531304","511","57365","216","55286","1164","49049","1213","27926","220","19106","333","44729","428","45774","315","44408","400","76177","407","54143","363","32755","205","15717","205","7032","344","1837","323","509174","510","54405","249","53085","1177","47326","1139","26404","192","17829","408","40743","312","40930","289","40281","286","70610","359","53050","294","33997","206","17898","221","9284","333","3332","299",
"0400000US09","Connecticut","480185","*****","240099","86","23612","*****","21546","834","22822","833","13397","85","9515","124","22253","168","21459","121","20511","134","35534","134","26218","*****","13964","82","6115","104","2480","188","673","161","240086","86","22563","*****","21905","685","20677","685","12711","85","8769","103","19817","103","19905","*****","20219","*****","36359","131","28115","132","15882","*****","8178","73","3966","220","1020","217",
"0400000US10","Delaware","73230","*****","38052","79","4547","*****","3777","284","3516","282","1988","80","1260","146","3837","145","3995","*****","3516","*****","5452","*****","3309","*****","1702","*****","744","61","346","76","63","49","35178","79","4394","*****","4029","342","3087","341","1676","80","1331","*****","3107","*****","3258","*****","2960","189","5265","188","3022","*****","1670","*****","803","86","350","82","226","95",
