"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"0100000US","United States","18421637","21252","8774740","14515","529547","4143","516160","4054","531368","4841","310072","2124","231671","2141","629293","3250","757435","3261","764965","3174","1376371","3973","1182697","3202","932350","2682","623786","2294","290799","2763","98226","2414","9646897","10636","496355","3776","500079","5171","511687","5657","306566","2046","229580","1688","603960","3029","770954","3409","827486","2755","1577528","3752","1358783","3420","1122466","2475","794633","2449","374447","2820","172373","2897",
"0400000US01","Alabama","67909","1445","31325","855","1675","241","2001","259","2186","295","1270","212","708","159","2547","307","3121","345","2455","273","5197","395","4804","352","2797","216","2017","281","486","110","61","51","36584","919","2221","291","2146","314","2313","313","1386","210","1101","255","2104","320","2621","262","3114","295","6292","325","5149","297","3777","252","2949","301","927","221","484","170",
"0400000US02","Alaska","47289","1500","22265","676","1161","204","1704","271","1793","270","986","133","587","113","2002","332","2084","240","1468","181","2578","338","3122","282","2653","197","1585","142","416","103","126","91","25024","1005","1166","228","1348","323","1486","278","1010","200","513","89","1478","183","1986","230","2279","261","3680","277","3676","225","3184","248","1839","155","892","193","487","146",
"0400000US04","Arizona","239190","2955","111951","2071","6136","438","6266","629","6603","622","4191","291","3562","277","10068","462","9741","562","9613","580","19386","629","15371","408","10186","375","6736","211","2929","283","1163","247","127239","1666","5728","552","6694","564","7043","605","3206","276","3393","277","8710","449","9921","504","10962","360","21888","648","18196","512","14256","319","10955","243","4668","364","1619","350",
"0400000US05","Arkansas","46130","1123","22012","888","1613","255","1332","321","1440","263","781","168","726","284","2095","257","2333","267","1889","202","3682","278","2610","390","1999","195","1226","190","259","102","27","22","24118","630","1179","239","1383","245","1503","267","1168","251","774","209","1774","255","2105","246","2453","287","3953","346","3138","234","2307","184","1832","255","452","141","97","73",
"0400000US06","California","5834312","11618","2770908","7378","161107","2210","149207","2667","158446","2657","93606","921","67092","914","177607","1428","235838","1444","231136","1711","407349","2186","378571","1314","327034","1103","227308","1201","111455","1658","45152","1495","3063404","6203","149879","1923","141886","2402","147352","2485","87966","1206","63559","839","169455","1252","233236","1778","244768","1421","471372","1841","441578","1393","399860","1383","288799","1276","145713","1920","77981","1900",
"0400000US08","Colorado","181733","2287","82532","1260","4657","397","5011","481","5214","551","3167","283","2336","205","6968","561","7576","411","8066","368","13617","417","11171","338","7208","267","4721","213","2127","188","693","164","99201","1370","4937","306","5648","468","5707","469","3784","248","2371","144","7178","440","8430","313","8916","330","16540","547","13956","346","10079","230","7212","199","3120","295","1323","274",
"0400000US09","Connecticut","163262","1704","78343","1029","5215","358","4469","400","5249","400","2795","233","2214","207","6159","317","6483","367","7701","257","13469","316","10755","279","7139","322","4144","168","1966","213","585","188","84919","960","4513","349","4536","518","5338","450","3193","251","2339","199","5767","256","7270","227","7838","250","15218","269","12265","196","8271","167","5524","135","2293","194","554","157",
"0400000US10","Delaware","38528","900","18922","504","1472","93","1112","209","1092","203","631","87","440","76","1397","179","1644","164","1896","160","3408","150","2223","119","1786","51","1153","77","567","102","101","56","19606","563","1269","137","1538","197","766","202","578","151","444","96","1189","115","1757","120","1891","72","3159","123","2488","140","1983","151","1573","51","618","135","353","134",
"0400000US11","District of Columbia","28762","626","11972","444","647","165","253","88","396","148","188","45","511","165","1127","171","1739","200","1664","237","2655","162","1362","79","640","99","495","6","223","67","72","67","16790","472","284","108","391","130","241","121","205","51","799","190","1747","164","2584","155","2898","123","3341","186","1681","81","1202","155","825","54","492","81","100","79",
"0400000US12","Florida","590668","4543","272556","2377","13509","606","15360","897","16491","906","9715","440","6800","490","19699","746","21697","649","22856","642","42127","788","38155","810","30407","493","22209","472","10922","550","2609","433","318112","2852","13662","699","14039","922","16837","1002","10105","419","7329","413","18513","775","22794","758","24924","621","52952","859","46852","771","40873","592","31679","529","12970","641","4583","553",
"0400000US13","Georgia","434603","2785","209187","2077","14100","523","12777","706","14419","827","8026","400","5793","360","15532","522","16373","639","18087","595","35876","744","30321","535","20636","476","11006","341","4685","354","1556","305","225416","1537","11729","556","13806","778","14027","790","8043","465","6112","378","13800","569","17498","527","20126","707","40711","706","33017","538","23867","394","14951","385","5648","504","2081","423",
"0400000US15","Hawaii","534519","4004","249847","2742","10107","668","9695","754","11764","647","7730","398","4547","340","13615","619","15322","672","14315","523","29996","811","34725","809","38948","622","32250","553","17402","666","9431","649","284672","2267","8148","603","8981","671","10274","656","6688","466","3951","304","12247","521","15533","570","15622","543","35948","720","40800","710","44376","674","38610","538","24294","760","19200","840",
"0400000US16","Idaho","24501","1042","10319","703","692","170","528","149","692","221","501","143","288","102","737","233","1396","316","923","220","1427","187","1253","202","953","243","514","144","399","143","16","15","14182","684","297","136","746","203","812","244","627","179","547","199","1398","302","990","242","1113","250","2525","263","2061","245","1314","153","1175","209","501","207","76","61",
"0400000US17","Illinois","709567","3537","342236","2317","19969","680","20249","893","20291","968","11774","526","9096","305","24940","590","29475","488","31658","535","56336","630","44703","518","33468","547","26228","400","11280","706","2769","570","367331","2004","19025","666","19593","948","20199","904","11805","382","8092","380","23953","607","30554","628","32615","550","60612","639","50249","677","40148","568","30971","391","14471","658","5044","596",
"0400000US18","Indiana","158705","2039","79054","1237","5468","420","5051","528","5200","576","2756","294","3970","415","10699","535","7563","313","6787","369","12456","463","8960","417","5728","417","3300","294","785","137","331","169","79651","1313","4874","395","5425","519","4799","428","3194","387","3333","380","7934","511","7274","388","7172","435","13323","477","9857","414","6676","391","3960","308","1410","217","420","140",
"0400000US19","Iowa","79296","1155","38677","849","2180","286","2588","295","2413","292","1293","233","1284","190","5675","455","4412","377","3650","308","6750","354","4150","290","2418","172","1145","130","613","145","106","76","40619","920","2521","292","3533","615","2500","366","1460","195","1571","193","4337","387","3924","279","3540","267","7005","320","4430","232","3099","232","1709","205","716","122","274","89",
"0400000US20","Kansas","87093","1738","42905","973","2838","276","2822","358","2982","322","1663","162","1204","165","4732","283","4511","269","4177","266","6490","369","5198","318","3644","277","1795","119","678","129","171","98","44188","1122","2516","363","2348","382","2909","345","1745","227","1500","241","4124","421","4016","290","3875","255","7420","378","5826","327","4127","289","2554","157","1013","197","215","100",
"0400000US21","Kentucky","68139","1184","31721","795","2326","272","2732","362","1888","290","1392","148","853","166","2269","286","2674","253","2923","259","5830","370","4632","326","2204","183","1545","218","367","81","86","73","36418","758","2726","280","2464","335","2581","258","1640","194","988","173","2635","232","3182","255","3568","299","6459","426","4799","400","2465","240","1985","228","668","159","258","94",
"0400000US22","Louisiana","80930","978","39100","661","1831","227","2522","326","2577","398","1373","271","1320","277","3342","348","3454","377","3277","242","6337","375","4928","333","4142","337","3030","333","687","175","280","85","41830","749","2607","249","2573","374","2502","382","1203","230","1214","345","2595","332","2893","216","3476","262","7114","419","5936","365","4879","288","3277","279","1058","201","503","179",
"0400000US23","Maine","15270","605","6445","403","307","124","442","191","320","117","313","84","468","152","426","122","570","109","774","124","926","162","733","129","580","119","463","142","121","88","2","2","8825","429","323","170","243","79","562","125","406","120","521","142","587","181","650","149","641","158","1723","221","1031","168","1142","134","788","98","121","57","87","55",
"0400000US24","Maryland","384429","2538","182739","1701","10539","500","11866","679","11017","640","6859","275","4773","259","10912","371","13342","296","13946","412","29418","520","26082","388","21501","317","13770","327","6962","348","1752","323","201690","1436","9687","423","10821","671","11031","558","6895","286","4415","247","11171","327","13688","363","16243","357","34147","528","30743","368","24487","373","16868","271","8212","430","3282","414",
