"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","15710659","20032","7452023","12316","458856","2757","475658","3695","463427","4016","281611","1976","211351","1638","597544","3521","630495","2565","623268","2523","1222628","3347","1013697","2465","771601","1977","437595","1570","203180","1738","61112","1413","8258636","9766","441516","2940","474963","4142","460949","4053","271862","1864","205418","1824","580172","3254","680122","2719","714871","2080","1394435","2971","1164721","2439","945846","2131","534821","1559","277841","2002","111099","1714",
"0400000US01","Alabama","58322","1002","27141","794","1905","212","2012","312","1783","240","1024","171","937","183","2159","284","2479","247","2650","264","5272","342","3398","206","1933","161","1021","173","490","135","78","50","31181","570","1827","187","2149","288","1899","248","1073","214","670","156","2572","254","2791","250","2874","237","5546","272","3989","217","3183","184","1690","190","781","155","137","94",
"0400000US02","Alaska","40976","1042","19117","587","1313","170","1191","191","1538","198","973","102","621","109","1742","197","1465","189","1181","127","2769","216","2727","201","2270","173","941","135","157","84","229","98","21859","656","1145","148","1367","258","1509","219","1158","119","518","98","1582","168","1565","190","1452","166","3270","172","3303","224","2760","189","1444","140","599","83","187","94",
"0400000US04","Arizona","191071","2065","88716","1201","5740","397","5677","571","5984","432","3246","238","2531","216","7655","372","7869","342","8384","342","16096","387","11154","310","7448","189","4456","171","2072","196","404","119","102355","1304","5470","375","6228","539","5575","431","3278","207","2391","172","6432","329","8320","428","9354","367","19062","355","14083","337","11512","224","6744","164","3102","204","804","195",
"0400000US05","Arkansas","38409","866","17683","580","1311","208","1479","241","1060","223","747","167","497","170","1709","247","1885","162","1667","210","3159","237","1858","155","1464","172","585","172","239","114","23","30","20726","583","1155","168","1565","209","1320","249","700","160","584","157","1572","230","2404","227","2211","252","3604","246","2331","191","1955","174","956","145","348","129","21","27",
"0400000US06","California","5130536","7902","2425790","4708","135717","1363","143015","2056","143515","1942","91867","921","64968","758","183328","1471","194531","1078","186652","1277","376915","1438","346749","1156","281973","874","162447","630","86204","1020","27909","910","2704746","4568","128963","1511","138007","2031","136117","2006","85312","932","62131","889","179253","1195","201490","1180","213230","1089","437869","1160","405355","1051","346549","830","201600","732","118819","1260","50051","1154",
"0400000US08","Colorado","146561","1841","66303","1194","4323","327","4305","399","4547","333","2406","184","1645","208","5350","441","6209","315","6259","290","11502","355","8854","302","5945","228","2989","170","1528","136","441","126","80258","1014","4236","350","5550","439","5117","395","2684","208","2149","261","5287","339","6813","269","6878","308","14010","377","11319","263","8418","195","4480","152","2543","192","774","160",
"0400000US09","Connecticut","145842","1437","70117","806","4902","239","5014","400","4844","379","2634","205","1990","147","5224","243","6461","227","6786","202","12835","211","9219","218","5818","197","2963","176","1308","128","119","65","75725","855","4952","269","4800","348","5260","417","2779","139","2212","203","5103","260","6788","166","7509","220","14391","228","9831","213","6795","152","3365","151","1642","174","298","110",
"0400000US10","Delaware","31745","489","15133","317","1192","117","972","153","861","163","566","71","423","82","1186","119","1257","126","1554","88","2803","114","1760","105","1306","78","870","84","304","76","79","51","16612","297","1155","80","1091","123","817","154","546","49","369","69","1238","105","1705","89","1725","127","2718","110","2058","94","1615","45","1116","58","342","67","117","68",
"0400000US11","District of Columbia","22785","630","9422","324","377","104","249","80","102","56","128","49","516","162","1028","180","1619","121","1497","115","1908","114","868","63","620","60","322","34","152","47","36","36","13363","423","394","98","317","113","171","51","96","45","716","208","1615","229","2404","173","2229","135","2414","114","1124","74","990","47","505","59","184","56","204","64",
"0400000US12","Florida","490833","3470","226371","1957","12727","657","14382","883","13358","854","8862","509","6458","499","18254","621","18118","545","17784","530","38769","735","31589","540","23901","438","15185","468","5785","318","1199","239","264462","2250","12730","563","14912","857","14668","828","7932","422","5567","412","16958","834","20748","702","21727","517","46194","678","39677","610","33097","427","19687","430","7987","410","2578","345",
"0400000US13","Georgia","344195","2175","165972","1261","11229","499","12128","709","11595","682","6437","335","5513","331","13455","553","13387","441","13616","399","30671","524","22700","312","14320","332","7783","259","2676","262","462","164","178223","1424","10774","459","12291","581","11109","617","6346","248","5220","408","11834","469","14413","386","16391","440","34438","578","24997","496","17300","435","8887","290","3288","288","935","216",
"0400000US15","Hawaii","529907","3987","246265","2374","9462","493","10537","599","13010","727","7778","407","4801","340","13933","581","14887","458","13523","529","31709","652","38588","642","37971","649","25750","408","15583","434","8733","420","283642","2269","9629","589","10161","682","11403","676","7875","421","4278","271","13626","603","14487","506","15779","540","37446","691","44660","655","43679","517","31027","473","23570","575","16022","577",
"0400000US16","Idaho","21749","1046","10031","706","882","197","690","184","580","157","549","135","177","85","1115","254","902","168","979","180","1451","138","1335","189","679","106","402","115","227","80","63","52","11718","544","621","154","789","166","733","204","500","176","246","97","866","199","892","131","1047","160","2041","212","1656","204","1100","132","713","138","392","101","122","60",
"0400000US17","Illinois","627402","2398","300949","1379","19559","477","19718","772","17680","744","10961","261","7886","370","23402","487","26582","338","27967","495","51545","600","37102","425","30884","340","18953","291","6995","276","1715","210","326453","1626","18668","588","20215","794","18863","675","10142","320","7494","451","22294","657","28839","365","31154","375","56241","488","42081","395","36612","325","21662","293","9067","376","3121","326",
"0400000US18","Indiana","114674","1552","55614","910","3965","311","3890","435","3503","345","1844","195","2597","266","7502","338","5601","277","5408","311","9156","410","5873","318","3581","170","2056","220","568","101","70","40","59060","939","3520","376","4069","436","4056","418","2003","242","2366","308","6267","361","5049","271","6033","329","10051","364","6960","317","5064","290","2142","187","1263","218","217","88",
"0400000US19","Iowa","59726","966","29223","826","1868","194","2295","267","1863","264","1233","161","1250","178","4147","378","3009","213","2644","257","4842","255","3149","251","1706","146","840","94","337","68","40","30","30503","588","1927","171","2386","278","1687","232","1368","220","1175","202","3618","365","2993","215","2934","211","5157","256","3210","253","2183","176","1112","143","527","113","226","107",
"0400000US20","Kansas","72568","995","34571","720","2598","227","2651","274","2319","271","1172","176","903","140","3793","289","3498","192","3148","203","5883","251","3809","217","2821","173","1385","111","460","99","131","77","37997","553","2644","188","2369","210","2549","256","1344","160","1059","207","3689","302","3660","251","3689","186","6675","240","4120","214","3459","198","1787","152","789","132","164","61",
"0400000US21","Kentucky","53448","1107","25011","713","1902","215","2297","270","1449","198","1014","157","504","108","2667","281","2195","185","2145","239","4904","280","2986","226","1599","143","946","116","298","60","105","59","28437","651","1933","219","2180","272","2168","272","1019","170","776","167","2496","286","2421","255","2686","257","5239","298","3249","250","2437","161","1207","124","510","110","116","51",
"0400000US22","Louisiana","75409","930","36633","749","2541","247","2561","325","1983","277","1334","146","1069","267","3502","315","3390","235","3307","309","5937","329","4754","301","3820","217","1751","188","624","114","60","40","38776","688","2373","223","2275","266","2502","303","1341","156","1093","208","2934","263","3764","284","3683","297","6645","295","4646","238","4526","250","1935","181","799","103","260","112",
"0400000US23","Maine","14610","524","6185","315","260","107","487","134","420","109","277","98","339","112","671","141","532","116","465","139","1170","139","771","119","395","92","322","77","54","41","22","22","8425","431","445","139","568","140","764","135","483","142","238","81","651","139","613","116","774","151","1348","152","989","134","980","152","444","115","106","60","22","22",
"0400000US24","Maryland","344956","2008","163725","1242","11066","381","10957","584","10371","435","6001","236","4421","249","11408","311","12820","303","13300","287","27861","368","23113","272","17010","218","9932","200","4054","289","1411","245","181231","1182","9568","394","10590","538","10799","554","5558","239","4250","163","10555","335","14667","333","16072","252","32633","412","26928","283","20556","225","12062","176","5279","315","1714","264",
"0400000US25","Massachusetts","384642","2014","183169","1203","12467","467","11248","627","11467","526","6285","258","6634","260","17086","372","18133","358","17321","309","31345","412","22832","277","15444","167","8048","153","3842","221","1017","189","201473","1173","12130","465","12373","583","10754","542","6552","212","7796","290","18715","417","20680","412","20028","314","34208","343","25038","271","17594","192","9163","158","4561","276","1881","229",
"0400000US26","Michigan","258567","1955","125135","1206","8502","354","9309","494","9192","521","5334","223","5024","317","11799","434","10091","281","9928","211","21675","380","15598","317","9835","239","6043","180","2226","173","579","160","133432","1078","7901","312","9864","485","9114","464","5067","236","4426","306","11075","430","10964","289","11970","284","23767","331","16438","321","12204","206","6759","186","3048","211","835","140",
"0400000US27","Minnesota","230798","1800","112092","1053","9267","368","10045","433","9039","474","5670","199","4015","252","12061","310","11037","420","10341","221","17639","354","11229","254","6629","162","3280","179","1427","167","413","124","118706","1146","9463","323","9965","454","9053","410","5481","220","4310","314","10767","340","12702","318","11691","330","18583","304","11797","240","7947","164","4180","171","1833","216","934","189",
"0400000US28","Mississippi","28067","935","13042","677","653","171","1074","189","1055","222","457","142","479","160","1579","260","992","182","1107","217","2002","354","1637","232","1127","157","586","184","250","78","44","29","15025","521","560","165","867","190","1003","237","472","130","483","142","1484","262","1124","235","1339","198","2525","288","2255","270","1810","229","715","129","335","97","53","34",
"0400000US29","Missouri","101772","1420","47860","867","3056","312","3633","375","2905","367","1532","213","1675","214","5277","293","4683","295","4886","322","8159","355","5433","314","3528","198","2070","149","865","103","158","80","53912","847","2761","267","3767","345","2861","290","1796","238","1663","250","4809","336","5161","296","5687","250","9617","269","6538","266","5012","218","2657","165","1246","160","337","111",
"0400000US30","Montana","6651","486","2669","333","130","77","167","86","128","73","120","54","212","98","338","138","290","115","224","106","375","118","205","104","283","116","164","73","16","19","17","19","3982","313","90","61","206","85","201","92","193","127","147","80","526","156","279","96","367","114","578","149","544","134","465","128","250","93","41","32","95","53",
"0400000US31","Nebraska","35696","688","17074","427","1251","151","1298","215","1169","193","715","76","705","92","1813","161","1806","147","1519","138","2907","146","1903","140","1144","125","587","88","132","73","125","75","18622","431","1237","120","1417","176","1229","157","650","102","683","148","1751","164","1924","146","1664","135","3201","196","2188","128","1556","102","693","81","320","98","109","47",
"0400000US32","Nevada","207610","2207","93694","1276","4629","343","5468","437","5758","475","3841","238","2502","183","7037","490","7138","322","7023","225","14546","393","13811","244","11123","226","7251","163","2881","177","686","143","113916","1279","4125","330","4911","473","5627","508","3757","265","2143","154","7022","270","8239","266","8515","295","18749","401","18455","282","16478","299","10276","236","4375","250","1244","210",
"0400000US33","New Hampshire","30560","768","14216","472","1143","123","1189","161","865","152","559","88","402","99","1197","202","1008","121","1273","133","2713","152","2083","195","1105","109","456","83","184","53","39","38","16344","445","1074","149","1288","217","1030","176","617","150","582","162","1343","184","1272","133","1484","140","3229","214","1890","160","1568","147","652","122","236","62","79","85",
"0400000US34","New Jersey","779841","2548","379139","1413","25975","461","25766","862","25218","827","14677","238","8603","193","21903","333","28834","352","34901","294","68713","452","53732","332","38863","315","21964","191","8161","264","1829","265","400702","1400","25484","458","26104","774","24032","854","13775","257","8013","230","22463","375","31916","330","37973","345","72368","424","57819","347","43236","260","24026","239","10106","399","3387","387",
"0400000US35","New Mexico","28578","895","12048","528","555","110","626","156","864","226","408","83","475","123","1161","201","1241","262","986","127","2045","199","1394","214","1267","132","719","88","215","67","92","52","16530","582","693","162","788","230","923","182","520","118","376","108","1092","173","1112","163","1253","202","3207","252","2483","218","2271","194","1116","156","555","105","141","68",
"0400000US36","New York","1522549","4283","730446","2253","44101","750","41699","866","42397","1048","26157","453","20393","409","60152","691","65715","618","62393","578","111886","654","104243","581","83455","508","42726","429","20042","461","5087","458","792103","2593","41720","734","38859","954","41163","985","25177","385","19412","510","62809","738","74311","705","72135","496","129447","716","114526","616","90221","482","48944","420","23982","572","9397","513",
"0400000US37","North Carolina","231830","1745","110430","1152","8168","379","7911","550","8068","570","4308","307","3348","335","8932","485","9981","282","10965","383","20977","416","13305","353","8315","268","4369","217","1473","206","310","112","121400","1084","7834","367","8975","487","8633","554","4272","247","3992","386","8282","367","11019","375","12223","436","22061","417","15036","437","10909","347","5260","263","2273","281","631","145",
"0400000US38","North Dakota","8124","400","4126","294","215","100","223","84","145","76","154","86","281","125","800","189","633","126","518","109","495","103","343","113","174","73","112","46","33","28","0","20","3998","253","198","88","242","106","253","98","93","64","117","64","563","147","472","97","443","110","554","93","558","107","279","79","187","85","36","44","3","4",
"0400000US39","Ohio","208725","1691","99548","1002","6373","384","6901","423","6052","470","3486","236","3184","275","8756","380","10046","329","9891","312","17419","359","11957","328","8216","279","5038","233","1852","160","377","98","109177","1196","6722","391","7340","501","6956","519","3731","282","3314","334","8287","438","10737","373","10424","334","18587","401","13690","348","10413","242","5779","249","2433","180","764","159",
"0400000US40","Oklahoma","71396","1127","33465","699","2497","196","2206","222","2068","240","1287","144","1191","137","3919","399","3268","329","2870","175","5290","254","4023","205","2749","123","1399","126","598","77","100","56","37931","681","2119","237","2656","279","2057","246","1226","124","988","140","3675","242","3263","196","3572","214","6404","238","4882","169","3932","114","2142","144","784","110","231","68",
"0400000US41","Oregon","152259","1519","69650","958","3633","301","4333","433","4757","457","2835","256","2209","174","7023","344","5827","218","5418","274","11649","377","9648","292","6644","214","3557","176","1653","147","464","113","82609","989","3899","336","4632","412","4947","404","2983","221","1915","251","6641","375","6656","318","6724","320","14904","350","12263","298","8966","219","4585","208","2516","178","978","160",
"0400000US42","Pennsylvania","377735","1860","181866","1190","11771","389","12873","619","11247","603","6844","209","6591","336","16005","459","17223","343","16864","294","30090","588","22529","342","16190","221","8881","245","3892","254","866","202","195869","1058","11804","379","12083","678","12574","757","6822","258","6635","263","16166","393","18930","331","18331","285","32981","452","24712","299","18801","279","10131","230","4762","242","1137","225",
"0400000US44","Rhode Island","32994","689","15484","463","990","155","1015","198","1048","208","610","69","853","94","1764","124","1559","150","1531","154","2216","177","1723","103","1257","106","635","70","241","57","42","37","17510","410","954","140","802","166","1225","186","600","84","1041","134","2331","164","1943","117","1522","93","2492","157","1981","113","1407","119","704","86","337","68","171","79",
"0400000US45","South Carolina","63199","1162","29424","745","1698","215","1798","282","1831","249","974","159","850","212","3177","301","2456","250","2648","226","5188","376","3813","270","2711","210","1711","241","485","136","84","59","33775","700","1888","200","1963","254","2174","280","1035","168","1181","219","2084","236","2561","305","3168","239","5802","304","4668","282","3967","189","2442","246","725","141","117","63",
"0400000US46","South Dakota","9433","416","4602","370","226","58","361","133","337","125","270","99","205","85","669","122","580","164","281","95","658","138","557","125","261","97","140","65","57","36","0","22","4831","233","310","55","506","115","372","128","206","81","213","81","431","154","463","112","314","113","724","152","609","120","489","123","145","71","49","45","0","22",
"0400000US47","Tennessee","98441","1510","45407","895","2990","242","3637","282","2944","305","1981","212","1286","225","3399","291","3823","312","4155","257","8524","312","5847","274","3841","192","2042","156","850","139","88","60","53034","932","3461","221","3731","312","3199","360","1851","209","1550","241","3438","269","4663","311","5223","265","9438","354","7057","295","5267","199","2763","192","1197","167","196","78",
"0400000US48","Texas","1067008","4225","518228","2363","35961","745","37156","1096","35604","1025","19606","484","13112","448","39469","796","44686","751","44463","613","93050","816","70236","575","48040","524","25337","331","9736","354","1772","257","548780","2493","34473","812","37607","1039","34116","990","19245","428","12185","396","36415","572","46898","572","51002","625","100414","827","73895","598","57418","501","29450","404","11957","455","3705","355",
"0400000US49","Utah","60631","1114","28198","691","1841","246","1672","232","1864","247","1193","128","1032","138","3102","255","2765","174","2562","163","4407","204","3317","153","2593","116","1085","75","543","107","222","92","32433","718","1587","267","2047","237","2029","259","1127","148","811","143","3187","270","3204","173","2800","169","5671","187","4127","183","3164","152","1557","83","804","126","318","95",
"0400000US50","Vermont","8200","358","3630","236","172","57","201","77","295","90","163","67","140","67","475","116","398","103","291","84","648","130","384","100","255","39","146","39","53","28","9","12","4570","237","112","55","334","91","238","68","223","50","278","96","509","125","437","76","380","110","859","92","466","66","383","60","288","63","41","30","22","23",
"0400000US51","Virginia","475632","3210","223179","1922","14670","487","16201","810","14511","692","8390","314","5848","410","16374","669","18250","442","19615","461","40093","456","31100","492","20771","390","11717","254","4457","253","1182","196","252453","1694","14755","440","15902","710","15133","736","8272","345","6047","430","15691","531","20614","476","23457","413","47565","576","35951","474","26826","379","14192","242","6324","320","1724","229",
