"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","14185493","18482","6759062","11476","452159","2885","442639","3775","429309","4544","273169","1968","208614","1879","538851","2936","583916","2534","590342","1770","1123677","2541","921813","2261","636741","1664","350473","1243","160809","1535","46550","1329","7426431","8957","439966","2548","447526","3985","419991","4372","256634","1645","198917","1968","531909","3295","648105","2409","659795","2152","1258883","2040","1058622","2071","771946","2267","421078","1247","234532","2126","78527","1478",
"0400000US01","Alabama","51219","911","24095","652","1879","184","1926","264","1665","270","1053","141","957","245","2177","257","2123","174","2451","229","4208","225","2727","219","1687","171","907","183","242","106","93","72","27124","605","1747","212","2181","240","1520","288","714","162","815","204","2167","283","2651","276","2602","180","4589","253","3697","276","2586","182","1274","205","491","121","90","74",
"0400000US02","Alaska","36021","1143","16973","743","1010","224","1196","209","1150","194","663","127","552","123","1372","182","1228","190","1193","194","2815","301","2887","314","1754","175","820","109","164","74","169","58","19048","686","817","165","1166","215","1260","199","851","174","422","107","1447","223","1197","156","1261","176","3437","223","2920","185","2594","197","1044","128","463","66","169","70",
"0400000US04","Arizona","166663","1758","78290","1025","5693","310","5329","446","4677","533","2847","261","2317","188","6872","419","7870","262","7996","323","14179","318","9550","239","5743","206","3672","105","1159","133","386","127","88373","1036","5415","353","5422","481","4624","454","2773","212","2134","208","5611","278","8541","329","8767","263","16370","310","12075","328","9010","237","4702","139","2522","190","407","143",
"0400000US05","Arkansas","33327","837","15690","611","1146","242","1312","236","1105","226","699","158","853","237","1142","274","1634","286","1596","142","2418","182","1753","152","1287","189","546","119","124","68","75","52","17637","623","1186","181","1301","266","1100","205","601","133","621","179","1512","225","1740","259","1742","199","2988","223","2189","159","1614","161","571","156","407","132","65","60",
"0400000US06","California","4747252","8060","2253174","4387","134502","1571","136625","1823","142185","2030","94470","952","67949","860","171026","1199","182542","1088","176640","799","359102","1141","328000","850","235130","653","132136","397","71411","906","21456","897","2494078","4630","128323","1278","130522","2171","135053","2095","88484","962","64899","839","168568","1361","198808","1153","198584","872","410974","1044","382201","883","284185","668","164687","496","102174","1332","36616","1302",
"0400000US08","Colorado","133134","1754","60877","1134","4161","325","4459","392","3585","368","2756","303","1734","201","4959","363","5453","227","6147","348","10935","375","7918","294","4750","172","2457","164","1076","147","487","135","72257","945","4610","334","5190","406","3703","362","2489","223","1739","167","5274","390","6532","222","6726","283","12769","328","10077","257","6765","204","3684","157","2175","172","524","138",
"0400000US09","Connecticut","129904","1183","63130","659","5363","230","4458","389","4208","389","2272","166","1833","137","4475","205","6043","197","6743","145","11654","154","7904","174","4699","138","2544","121","818","101","116","75","66774","688","5221","238","5318","348","4096","356","2202","140","1731","160","4549","203","6604","209","7016","189","12659","212","8210","210","5211","149","2567","210","1121","127","269","102",
"0400000US10","Delaware","27914","497","13460","337","1227","98","1033","138","671","125","437","70","407","97","996","96","1351","122","1478","81","2323","131","1617","113","1028","62","632","65","194","68","66","47","14454","300","1100","131","1087","157","787","174","448","44","360","43","965","126","1540","94","1381","59","2569","110","1735","74","1343","46","750","67","282","76","107","77",
