"GEO_ID","NAME","B01001D_001E","B01001D_001M","B01001D_002E","B01001D_002M","B01001D_003E","B01001D_003M","B01001D_004E","B01001D_004M","B01001D_005E","B01001D_005M","B01001D_006E","B01001D_006M","B01001D_007E","B01001D_007M","B01001D_008E","B01001D_008M","B01001D_009E","B01001D_009M","B01001D_010E","B01001D_010M","B01001D_011E","B01001D_011M","B01001D_012E","B01001D_012M","B01001D_013E","B01001D_013M","B01001D_014E","B01001D_014M","B01001D_015E","B01001D_015M","B01001D_016E","B01001D_016M","B01001D_017E","B01001D_017M","B01001D_018E","B01001D_018M","B01001D_019E","B01001D_019M","B01001D_020E","B01001D_020M","B01001D_021E","B01001D_021M","B01001D_022E","B01001D_022M","B01001D_023E","B01001D_023M","B01001D_024E","B01001D_024M","B01001D_025E","B01001D_025M","B01001D_026E","B01001D_026M","B01001D_027E","B01001D_027M","B01001D_028E","B01001D_028M","B01001D_029E","B01001D_029M","B01001D_030E","B01001D_030M","B01001D_031E","B01001D_031M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Margin of Error!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Margin of Error!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Margin of Error!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Margin of Error!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Margin of Error!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 to 24 years","Margin of Error!!Total!!Male!!20 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Margin of Error!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Margin of Error!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 44 years","Margin of Error!!Total!!Male!!35 to 44 years","Estimate!!Total!!Male!!45 to 54 years","Margin of Error!!Total!!Male!!45 to 54 years","Estimate!!Total!!Male!!55 to 64 years","Margin of Error!!Total!!Male!!55 to 64 years","Estimate!!Total!!Male!!65 to 74 years","Margin of Error!!Total!!Male!!65 to 74 years","Estimate!!Total!!Male!!75 to 84 years","Margin of Error!!Total!!Male!!75 to 84 years","Estimate!!Total!!Male!!85 years and over","Margin of Error!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Margin of Error!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Margin of Error!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Margin of Error!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Margin of Error!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Margin of Error!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 to 24 years","Margin of Error!!Total!!Female!!20 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Margin of Error!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Margin of Error!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 44 years","Margin of Error!!Total!!Female!!35 to 44 years","Estimate!!Total!!Female!!45 to 54 years","Margin of Error!!Total!!Female!!45 to 54 years","Estimate!!Total!!Female!!55 to 64 years","Margin of Error!!Total!!Female!!55 to 64 years","Estimate!!Total!!Female!!65 to 74 years","Margin of Error!!Total!!Female!!65 to 74 years","Estimate!!Total!!Female!!75 to 84 years","Margin of Error!!Total!!Female!!75 to 84 years","Estimate!!Total!!Female!!85 years and over","Margin of Error!!Total!!Female!!85 years and over",
"0100000US","United States","16235305","20725","7702678","12720","462259","3283","486619","4347","471801","3959","286462","1931","215199","1950","614994","3411","655467","2790","650542","2750","1254018","2689","1044874","2430","808123","1843","468833","1526","218291","1635","65196","1393","8532627","10259","443683","3374","476684","3820","474222","4027","278706","1945","211160","1951","593020","2993","700438","2878","738990","2478","1436645","3167","1198923","2714","987875","2137","578732","1681","294042","2120","119507","2066",
"0400000US01","Alabama","59599","1379","27547","885","1810","237","1865","309","1817","283","1114","181","835","176","2282","271","2594","357","2672","300","5380","322","3484","228","1930","164","1145","199","505","121","114","64","32052","732","1776","190","2215","268","1931","275","1006","205","716","170","2438","274","2754","217","3066","292","5763","329","4156","244","3475","206","1817","239","769","175","170","91",
"0400000US02","Alaska","42921","994","20463","594","1328","175","1334","180","1681","228","1186","139","729","124","1904","166","1661","140","1329","156","2805","180","2764","191","2357","154","1026","109","201","66","158","67","22458","586","1016","182","1497","258","1507","218","1169","145","558","81","1566","148","1753","156","1586","162","3446","183","3317","156","2795","160","1501","126","594","75","153","83",
"0400000US04","Arizona","200090","1909","93171","1301","5766","434","5874","471","6178","379","3341","224","2541","215","8289","373","8353","325","8816","315","17062","395","11590","286","7900","236","4694","236","2161","202","606","156","106919","1152","5814","361","6113","492","5995","481","3459","202","2502","217","7004","344","8522","363","9425","319","19748","379","14731","318","12057","227","7300","166","3335","210","914","193",
"0400000US05","Arkansas","40336","1027","19169","584","1439","189","1420","226","1317","233","762","188","530","154","2022","273","1884","189","1883","218","3346","255","2051","189","1533","158","692","145","275","99","15","21","21167","694","1106","141","1248","249","1404","262","788","159","606","184","1697","248","2188","240","2294","220","3820","216","2498","224","2133","153","988","150","330","119","67","47",
"0400000US06","California","5261978","9037","2489015","5735","136733","1373","144291","1897","144071","1881","91322","1023","64784","700","185776","1304","202992","1177","194019","1118","382785","1294","354005","1155","293940","874","173382","557","91616","1065","29299","1001","2772963","4557","128893","1327","137106","1701","138325","1961","84823","860","62902","722","179519","1042","208369","1224","218905","999","445751","1349","412231","1162","360892","801","216833","561","124173","1527","54241","1446",
"0400000US08","Colorado","153467","2349","69512","1389","4479","384","4607","447","4939","484","2429","263","1799","157","5579","417","6410","355","6737","267","11825","371","9191","271","6155","255","3296","143","1577","138","489","117","83955","1323","4431","333","5660","511","5178","480","2908","263","2326","247","5794","281","7043","302","7239","298","14426","458","11752","303","8953","190","4787","149","2653","177","805","149",
"0400000US09","Connecticut","150670","1067","72292","702","4862","239","5027","341","5020","402","2759","174","2099","217","5324","237","6513","185","6966","165","13257","190","9537","221","6174","224","3077","123","1539","106","138","85","78378","710","4774","256","4725","375","5456","361","2972","130","2521","188","5299","257","6724","232","7562","194","14816","210","10535","204","7076","150","3754","140","1824","150","340","120",
"0400000US10","Delaware","33643","599","16054","327","1165","96","977","173","956","172","580","71","448","78","1324","115","1339","106","1596","93","2886","127","1963","113","1409","69","962","91","378","76","71","47","17589","367","1210","96","1142","166","953","152","572","58","355","70","1314","124","1753","75","1709","121","2874","134","2211","98","1701","49","1234","21","459","65","102","64",
